"Guideline ID","Part","Evidence statement ID","Study ID","Evidence statement GUID","Study GUID","Ideal ES GUID","Ideal ST GUID"
"CG73","","CG73ES1","ST39","CG73CG73ES1","CG73ST39","G73CG73ES1","G73ST39"
"CG73","","CG73ES1","ST194","CG73CG73ES1","CG73ST194","G73CG73ES1","G73ST194"
"CG73","","CG73ES1","ST209","CG73CG73ES1","CG73ST209","G73CG73ES1","G73ST209"
"CG73","","CG73ES1","ST296","CG73CG73ES1","CG73ST296","G73CG73ES1","G73ST296"
"CG73","","CG73ES1","ST364","CG73CG73ES1","CG73ST364","G73CG73ES1","G73ST364"
"CG73","","CG73ES2","ST39","CG73CG73ES2","CG73ST39","G73CG73ES2","G73ST39"
"CG73","","CG73ES2","ST194","CG73CG73ES2","CG73ST194","G73CG73ES2","G73ST194"
"CG73","","CG73ES2","ST209","CG73CG73ES2","CG73ST209","G73CG73ES2","G73ST209"
"CG73","","CG73ES2","ST296","CG73CG73ES2","CG73ST296","G73CG73ES2","G73ST296"
"CG73","","CG73ES2","ST364","CG73CG73ES2","CG73ST364","G73CG73ES2","G73ST364"
"CG73","","CG73ES3","ST39","CG73CG73ES3","CG73ST39","G73CG73ES3","G73ST39"
"CG73","","CG73ES3","ST194","CG73CG73ES3","CG73ST194","G73CG73ES3","G73ST194"
"CG73","","CG73ES3","ST209","CG73CG73ES3","CG73ST209","G73CG73ES3","G73ST209"
"CG73","","CG73ES3","ST296","CG73CG73ES3","CG73ST296","G73CG73ES3","G73ST296"
"CG73","","CG73ES3","ST364","CG73CG73ES3","CG73ST364","G73CG73ES3","G73ST364"
"CG73","","CG73ES4","ST39","CG73CG73ES4","CG73ST39","G73CG73ES4","G73ST39"
"CG73","","CG73ES4","ST194","CG73CG73ES4","CG73ST194","G73CG73ES4","G73ST194"
"CG73","","CG73ES4","ST209","CG73CG73ES4","CG73ST209","G73CG73ES4","G73ST209"
"CG73","","CG73ES4","ST296","CG73CG73ES4","CG73ST296","G73CG73ES4","G73ST296"
"CG73","","CG73ES4","ST364","CG73CG73ES4","CG73ST364","G73CG73ES4","G73ST364"
"CG73","","CG73ES5","ST39","CG73CG73ES5","CG73ST39","G73CG73ES5","G73ST39"
"CG73","","CG73ES5","ST194","CG73CG73ES5","CG73ST194","G73CG73ES5","G73ST194"
"CG73","","CG73ES5","ST209","CG73CG73ES5","CG73ST209","G73CG73ES5","G73ST209"
"CG73","","CG73ES5","ST296","CG73CG73ES5","CG73ST296","G73CG73ES5","G73ST296"
"CG73","","CG73ES5","ST364","CG73CG73ES5","CG73ST364","G73CG73ES5","G73ST364"
"CG73","","CG73ES6","ST39","CG73CG73ES6","CG73ST39","G73CG73ES6","G73ST39"
"CG73","","CG73ES6","ST194","CG73CG73ES6","CG73ST194","G73CG73ES6","G73ST194"
"CG73","","CG73ES6","ST209","CG73CG73ES6","CG73ST209","G73CG73ES6","G73ST209"
"CG73","","CG73ES6","ST296","CG73CG73ES6","CG73ST296","G73CG73ES6","G73ST296"
