"Guideline ID","Part","Evidence statement ID","Evidence statement GUID","Ideal ES GUID","Evidence statement","Evidence Category Code","Evidence statement subject","Set GUID",""
"CG73","","ES1","CG73ES1","","Over the entire GFR range, the studies did not show an important difference in accuracy of estimating kidney function, defined by P30, between MDRD and CKD-EPI. There was, however a trend towards increased accuracy using cystatin C or combined equations. P30 was slightly betterin the subgroup with GFR <60 ml/min/1.73 m2compared to a GFR >60 ml/min/1.73 m2The CKD- EPI creatinine equation was more accurate than the MDRD in people with a GFR >60 ml/min/1.73 m2 Only two studies looked at P30 in cystatin C or combined equations for GFR subgroups. 
","","Accuracy of estimation of kidney function","CG73S1","s39,194,201,296,364"
"CG73","","ES2","CG73ES2","","Five studies39,194,201,296,364 considered P30 in older people. Two of these39,296 10 looked at a pre-specified subgroup of people 80 years and over. The other three studies included only older people: Kilbride et al194 people aged 74 years and over (median 80 years) and both Koppe et al201 12 and Schaeffner et al364 13 people aged over 70. In the Kilbride study the P30 of all the CKD-EPI  equations was significantly better than that of the MDRD equation in those with GFR greater than 60 ml/min/1.73 m2  . Overall the three studies showed a trend towards CKD-EPI creatinine, cystatin  C or combined equations being more accurate than MDRD in this subgroup. 
","","Accuracy of estimation of kidney function","CG73S1","s39,194,201,296,364"
"CG73","","ES3","CG73ES3","","Overall there was less bias with the CKD-EPI creatinine equation than with MDRD. There was more bias in the GFR>60 ml/min/1.73 m2 subgroup compared to the GFR<60 ml/min/1.73 m2. 
Cystatin C or combined equations showed the least bias in the GFR <60 ml/min/1.73 m2  group. In the GFR>60 ml/min/1.73 m2 group there was minimal difference between the performance of the equations. Only two studies reported bias in the older population subgroup. Both showed less bias with cystatin C or combined equations compared to creatinine based equations alone.","","Accuracy of estimation of kidney function","CG73S1","s39,194,201,296,364"
"CG73","","ES4","CG73ES4","","The most precise (defined by interquartile range [mGFR-eGFR]) equation was the combined CKD  EPI (serum creatinine and cystatin C), however, overall there was little difference in precision between the equations. 
","","Accuracy of estimation of kidney function","CG73S1","s39,194,201,296,364"
"CG73","","ES5","CG73ES5","","There was no difference in sensitivity and specificity or area under the curve for CKD EPI  creatinine compared to MDRD. These outcomes were not reported for the other equations. 
","","Accuracy of estimation of kidney function","CG73S1","s39,194,201,296,364"
"CG73","","ES6","CG73ES6","","No data from the studies included were available for net reclassification index for CKD-EPI compared to the MDRD equation. 
","","Accuracy of estimation of kidney function","CG73S1","s39,194,201,296,364"
"CG73","","ES7","CG73ES7","","The intra-individual biological variation of creatinine was significantly higher in people with CKD  (n=17, coefficient of variation (CV)=5.3%) than in healthy people (n=24, CV=2.7%, p <0.01).150 ","","Biological variation of serum creatinine 

","CG73S2","150"
"CG73","","ES8","CG73ES8","","The CV for serum creatinine for nine people with CKD on all occasions was 61.9%. The average analytical variation for serum creatinine was 0.1% of the total variance. The average intra-individual  biological variation of creatinine measurements was 1.1% of the total variance.110 9 (Level 3) 
","","Biological variation of serum creatinine ","CG73S2","110"
"CG73","","ES9","CG73ES9","","The intra-individual biological variation of creatinine measurements was significantly higher in 
women with insulin-dependent diabetes (n=11, CV=6.53%) than in healthy women (n=14, CV=2.81%, p<0.01). The intra-individual biological variation of creatinine measurements was significantly higher  in menwith insulin-dependent diabetes (n=16, CV=5.88%) than in healthy men (n=10, CV=2.64%, p <0.01). 151 ","","Biological variation of serum creatinine ","CG73S2","151"
"CG73","","ES10","CG73ES10","","In non-fasting healthy participants (n=9) or in non-fasting paralysed participants (n=4), the creatinine concentration increased significantly during the day, peaking at 19:00 (p <0.001). The creatinine concentration then decreased after 19:00 to 7:00 the next morning. In fasting participants (n=9), there was a small but significant decrease in creatinine concentration between 7:00 and 13:00 (p and there was no increase in serum creatinine during the rest of the time course.317 20 ","","Diurnal variation of serum creatinine concentration 
","CG73S2","317"
"CG73","","ES11","CG73ES11","","In people with inulin clearance ≥90 ml/min (n=38), the serum creatinine concentration was significantly greater in the afternoon than in the morning (mean difference 0.087 mg/100 ml [8  µmol/l], p <0.001). By contrast, there was non-significant (NS) difference in serum creatinine  concentration between morning and afternoon in people with inulin clearance <90 ml/min (n=34,  mean difference 0.035 mg/100 ml [3 µmol/l]).333","","Diurnal variation of serum creatinine concentration 
","CG73S2","333"
"CG73","","ES12","CG73ES12","","Four studies showed that ingestion of a cooked meat meal caused a significant increase in serum creatinine concentration. Following a cooked meat meal (n=6 healthy subjects), the mean serum creatinine concentration significantly increased (86 µmol/l at baseline to 175 µmol/l, 3 hours postprandially, p <0.001). The creatinine concentration then declined and at 10 hours postprandially stabilised, but did not returnto baseline. Following a non-meat meal or a raw beef meal, the serum creatinine concentration was relatively unchanged.168 32 (Level 3) 
","","Effect of cooked meat on serum creatinine concentration and eGFR","CG73S2","168"
"CG73","","ES13","CG73ES13","","Following a cooked meat breakfast (n=6), the mean serum creatinine concentration significantly  increased from baseline to 2 to 4 hours postprandially (52% increase, range 36-65%). The creatinine concentration slowly declined and returned to baseline by 12 hours. By contrast, following either a high or low non-meat protein breakfast (control), serum creatinine remained stable.248 ","","Effect of cooked meat on serum creatinine concentration and eGFR","CG73S2","248"
"CG73","","ES14","CG73ES14","","In 10 people with diabetic nephropathy, the mean serum creatinine concentration significantly increased from baseline (167 µmol/l) to 180 µmol/l in 2 hours (p<0.001) following a cooked meat meal.327","","Effect of cooked meat on serum creatinine concentration and eGFR","CG73S2","327"
"CG73","","ES15","CG73ES15","","Two studies showed significant increases in creatinine concentration after a 10- to 24-hour delay in  centrifugation of blood samples (kinetic Jaffe method used to assay creatinine). By contrast, the creatinine concentration remained stable, regardless of the delay in centrifugation, when assayed with enzymatic methods.104,371 11 From the 24-hour delay experiment (n=113 outpatients), mean  creatinine concentration significantly increased from baseline (85 µmol/l) to 24-hour delay (95 µmol/l, 11% increase, p <0.0004).104","","Effect of delays in centrifugation of blood samples on serum creatinine concentration and eGFR 
","CG73S2","104"
"CG73","","ES16","CG73ES16","","With a 16 hour delay in centrifugation, 4 out of 7 volunteers with baseline stage 1 CKD had changed  to stage 2. After a 36 hour delay in centrifugation, 7 out of 7 volunteers had changed from stage 1 to  stage 2 CKD. After a 24-hour delay in centrifugation of samples (n=113 outpatients), mean eGFR significantly decreased from baseline (eGFR 85 ml/min/1.73 m2 17 ) to 24-hour delay (eGFR 75 ml/min/1.73 m2 13% decrease, p <0.0001). The CKD staging of 32% of the participants changed after  a 24-hour delay in centrifugation of blood samples: 26% went from stage 1 CKD to stage 2, and 6% went from stage 2 to stage 3 CKD.104 20 (Level 3) 
","","Effect of delays in centrifugation of blood samples on serum creatinine concentration and eGFR ","CG73S2","104"
"CG73","","ES17","CG73ES17","","In 21 patients where the delay in centrifugation of blood samples exceeded 10 hours, the eGFR significantly decreased (p <0.001). This resulted in a change in CKD classification in 4 of these cases.371 ","","Effect of delays in centrifugation of blood samples on serum creatinine concentration and eGFR ","CG73S2","137"
"CG73","","ES18","CG73ES18","","The sensitivity of reagent strips for detecting trace erythrocytes in urine of adults with lupus (n=269) was high (98%), but the specificity (53%) and positive predictive value (PPV) (39%) were low.58 2 In hospitalised patients (n=100, 825 urine samples) the PPV for ‘trace’ and ‘+’ results on a reagent strip were 82% and 100% respectively.19 4 (Level 1b +) 
","","Detection of haematuria
","CG73S3","58, 19"
"CG73","","ES19","CG73ES19","","Overall, the sensitivity of reagent strips for detecting albuminuria was low. The specificity of reagent 10 strips for detecting albuminuria was high, ranging from 93–98%. (Level 1b+)",""," Detection of albuminuria","CG73S3","332, 72, 200,122"
"CG73","","ES20","CG73ES20","","Overall, the positive predictive values of the reagent strips for detecting albuminuria were low,  ranging from 71–91%. (Level 1b+) 
",""," Detection of albuminuria
","CG73S3","332, 72, 200,122"
"CG73","","ES21","CG73ES21","","The negative predictive value of reagents strips varied according to the cut-off value used to define albuminuria. (Level 1b+) 
",""," Detection of albuminuria","CG73S3","332, 72, 200,122"
"CG73","","ES22","CG73ES22","","Studies in pregnant women showed that reagent strips had low sensitivity and variable specificity for detecting proteinuria. The positive and negative predictive values also varied greatly. (Level 1b+) 
","","Detection of proteinuria ","CG73S3","145, 362, 415, 314, 51"
"CG73","","ES23","CG73ES23","","In people with kidney disease, a +1 or a +3 result on a reagent strip had high sensitivities to detect a PCR ≥1 g protein/g creatinine (roughly >1 g/day), and the specificity was low.7
Another study showed that reagent strips had low sensitivity for detecting proteinuria (>0.150 g/24 h).115 10 (Level 1b+) 
","","Detection of proteinuria ","CG73S3","115. 297. 332, 113"
