"Recommendation GUID","Guideline GUID","Full Guideline title","Rec ID (Full)","NICE Guideline title","Rec ID (NICE)","Recommendation body","Recommendation title","Rec Grade Code","Set ID","","Type","","","","","","","","","","","",""
"CG73R1.1.1","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R1","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.1","Whenever a request for serum creatinine measurement is made, clinical 
laboratories should report an estimate of glomerular filtration rate (eGFRcreatinine) using a prediction equation (see recommendation 1.1.2) in 
addition to reporting the serum creatinine result.","GFR estimate with prediction equation","","CG73S2","","","","","","","","","","","","","",""
"CG73R1.1.2","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R2","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care update","R1.1.2","Clinical laboratories should: 
 use the Chronic Kidney Disease Epidemiology Collaboration (CKD-EPI) 
creatinine equation to estimate GFR creatinine, using creatinine assays with calibration traceable to standardised reference material 
 use creatinine assays that are specific (for example, enzymatic assays) and zero-biased compared with isotope dilution mass spectrometry (IDMS) 
 participate in the UK National External Quality Assessment Service scheme for creatinine. [new 2014] 
","Estimation of GFR creatinine","","CG73S2","","","","","","","","","","","","","",""
"CG73R1.1.3","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R3","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care update","R1.1.3","Apply a correction factor to GFR values estimated using the CKD-EPI creatinine equation for people of African–Caribbean or African family origin (multiply eGFR by 1.159). [new 2014] 
","GFR values and correction factor application","","CG73S2","","","","","","","","","","","","","",""
"CG73R1.1.4","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R4","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care update","R1.1.4","In people with extremes of muscle mass – for example, in bodybuilders, people who have had an amputation or people with  muscle wasting disorders – interpret eGFRcreatinine with caution. (Reduced muscle mass will lead to overestimation and increased  muscle mass to underestimation of the GFR.) 
","interpretation of eGFR creatinine results for those with extremes of muscle mass","","CG73S1","","","","","","","","","","","","","",""
"CG73R1.1.5","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R5","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care update","R1.1.5","Advise people not to eat any meat in the 12 hours before having a blood test for eGFRcreatinine. Avoid delaying the despatch of blood samples to ensure that they are received and processed by  the laboratory within 12 hours of venepuncture. [2008] 
","eFGR creatinine test and meat consumption","","CG73S1","","","","","","","","","","","","","",""
"CG73R1.1.6","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R6","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care update","R1.1.6","Whenever a request for serum cystatin C measurement is made, clinical 
laboratories should report an estimate of glomerular filtration rate 
(eGFRcystatinC) using a prediction equation (see recommendation 5) in 
addition to reporting the serum cystatin C result. [new 2014] 
","glomerular filtration rate estimation","","CG73S1","","","","","","","","","","","","","",""
"CG73R1.1.7","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R7","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care update","R1.1.7","When an improved assessment of risk is needed (see recommendation 
15), clinical laboratories should use the CKD-EPI cystatin C equation to 
estimate GFRcystatinC. [new 2014] 
","use of CKD-EPI cystatin C equation","","CG73S1","","","","","","","","","","","","","",""
"CG73R1.1.8","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R8","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care update","R1.1.8","Clinical laboratories should use cystatin C assays calibrated to the 
international standard to measure serum cystatin C for cystatin C-based 
estimates of GFR. [new 2014] 
","Calibration of cystatin C assays","","CG73S1","","","","","","","","","","","","","",""
"CG73R1.1.9","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R9","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care update","R1.1.9"," Interpret eGFRcystatinC with caution in people with uncontrolled thyroid disease as eGFRcystatinC values may be falsely elevated in people with hypothyroidism and reduced in people with  hyperthyroidism. [new 2014] 
","eGFR cystatin C results in those with uncontrolled thyroid disease","","CG73S1","","","","","","","","","","","","","",""
"CG73R1.1.10","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R10","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.10","Clinical laboratories should report GFR either as a whole number if it is 
90 ml/min/1.73 m or less, or as ‘greater than 90 ml/min/1.73 m [new 
2014] ","Reporting GFR as whole number","","CG73S1","","","","","","","","","","","","","",""
"CG73R1.1.11","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R11","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.11","If GFR is greater than 90 ml/min/1.73 m use an increase in serum creatinine concentration of more than 20% to infer significant reduction in renal function. [new 2014] 
","Inferring reduction in renal function","","CG73S1","","","","","","","","","","","","","",""
"CG73R1.1.12","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R12","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.12","Interpret reported values of eGFR ≥60 ml/min/1.73m2with caution, bearing in mind that estimates of GFR become less accurate as the true GFR increases.","Interpreting with caution","","CG73S1","","","","","","","","","","","","","",""
"CG73R1.1.13","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R13","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.13","Confirm an eGFR result of less than 60 ml/min/1.73 m in a person not previously tested by repeating the test within 2 weeks. Allow for biological and analytical variability of serum creatinine (±5%) when interpreting changes in eGFR. [2008] 
","Confirmation of low eGFR result","","CG73S1","","","","","","","","","","","","","",""
"CG73R1.1.14","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R14","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.14","Consider using eGFRcystatinC to confirm the diagnosis of CKD in people with: 
 an eGFRcreatinine of 45–59 ml/min/1.73 m2, sustained for at least 90 days and 
 no proteinuria (albumin:creatinine ratio [ACR] less than 3 mg/mmol).","Confirmation of CKD","","CG73S1","","","","","","","","","","","","","",""
"CG73R1.1.15","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R15","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.15","Do not diagnose CKD in people with: 
 an eGFRcreatinine of 45–59 ml/min/1.73 m2 and 
 an eGFRcystatinC of more than 60 ml/min/1.73 m2 and 
 no other marker of kidney disease7. [new 2014] 
","When not to diganose CKD","","CG73S1","","","","","","","","","","","","","",""
"CG73R1.1.16","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R16","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.16","Where a highly accurate measure of GFR is required – for example, during monitoring of chemotherapy and in the evaluation of renal function in potential living donors – consider a reference standard measure (inulin, 51Cr-EDTA, 125I-iothalamate or iohexol). [2008] 
","Reference standard measures where highly accurate eGFR required","","CG73S1","","","","","","","","","","","","","",""
"CG73R1.1.17","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R17","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.17","Do not use reagent strips to identify proteinuria unless they are capable of specifically measuring albumin at low concentrations and expressing the result as an ACR .","Use of  reageant strips to identify proteinuria","","CG73S3","","","","","","","","","","","","","",""
"CG73R1.1.18","CG73","Chronic Kidney Disease: National clinical guideline for early identification and management in adults in primary and secondary care","R18","Chronic kidney disease: Early identification and management of chronic kidney disease in adults in primary and secondary care","R1.1.18","To detect and identify proteinuria, use urine albumin:creatinine ratio (ACR) in preference, as it has greater sensitivity than protein:creatinine ratio (PCR) for low levels of proteinuria. For quantification and monitoring of proteinuria, PCR can be used as an alternative. ACR is the recommended method for people with diabetes.","Use of ACR to detect proteinuria","","CG73S3","","","","","","","","","","","","","",""
