"Audit ID","Recommendation GUID","AuditCriteria","NumberFulfill","TotalNumber","PercentAchiev","Notes","AuditInfoSourceID","AuditDate"
"2","CG100R1.3.1.1","Judged by assessors as having had an ADEQUATE liver screen where this was their first presentation of liver disease","57","123","46.30","Page 43
It was noted that this may be due to documentation issues but it was felt that a significant number were assumed to have alcohol related liver disease due to their alcohol intake","1","30-Jun-11"
"3","CG100R1.3.1.1","Number of patients judged by the assessors to have had an adequate liver screen where this was not their first presentation for liver dieease","130","275","47.20","Page 43
It was noted that this may be due to documentation issues but it was felt that a significant number were assumed to have alcohol related liver disease due to their alcohol intake","1","30-Jun-11"
"4","CG115R1.2.1.4","Assessment of current drinking status for this admission","196","372","52.60","Page 48-49
Drinking status was documented in 488/512 cases but the assessors only judged it to be an adequate history in 196 out of the 372 they could asess","1","30-Jun-11"
"5","CG115R1.2.1.4","Documentation of alcohol history for previous admissions","135","201","67.20","Page 48-49
Patients where documentation of previous liver related admissions was available","1","30-Jun-11"
"6","CG115R1.3.1.2","Evidence of advice or support offered during PREVIOUS admissions","312","499","62.50","Page 50
Of the 312 offered advice, ti was considered appropriate in 263 (88.3%) of them","1","30-Jun-11"
"7","CG100R1.1.2.1","Was a risk assessment made for alcohol withdrawal in those who are continuing to drink","129","270","47.80","Page 58
Those who were not classed as 'current drinkers' were not included in the denominator","1","30-Jun-11"
"8","CG100R1.1.2.2","Whether a specific withdrawal asessment tool was used for those at risk of withdrawal","32","322","9.90","Page 50","1","30-Jun-11"
"9","CG100R1.1.3.1","Whether withdrawal treatments was given when it should have been given","118","144","81.94","page 51

	Noted that this is higher than the number who were risk assessed – suggests withdrawal treatment being given without risk assessment

Of those given treatment (n=145):
118 were appropriate
27 were given inappropriate treatment

Of those not give","1","30-Jun-11"
"10","CG100R1.2.1.1","Patients who were current drinkers who had thiamine offered","355","394","89.00","Page 58
Statistic has been slightly altered from the text, orginal text says that 89 patients did not receive thiamine, of which 39 were current drinkers, representing 11% of the 394 'current drinkers'","1","30-Jun-11"
"11","CG32R1.2.2","Patients who had assessment of nutritional needs","129","368","35.00","Page 60
Failure to asess was not explained by death early in the admission","1","30-Jun-11"
