"AuditInfoSourceID","SourceName","SourcePublishDate","InformationType","LclOrNtl","PeerReview","IncludeInUptakeDatabase","Notes"
"1","NCEPOD - Measuring The Units","30/06/2011","National Audit","National","Not Applicable","TRUE","This NCEPOD report highlights the process of care for patients who are treated for alcohol-related liver disease and the degree to which their mortality is amenable to health care intervention. The report takes a critical look at areas where the care of p"
"2","National Heart Failure Audit 11/12","30/03/2012","National Audit","National","Not Applicable","TRUE","•	In March 2011 a revision of the dataset increased the number of core fields to 59. New fields have been added to bring the audit in line with latest NICE guidance•	Data collected April 2011 – March 2012 •	37076 Admissions during the data collection per"
"3","National Heart Failure Audit 10/11","30/03/2011","National Audit","National","Not Applicable","TRUE","•	Data collected April 2010 – March 2011•	36901 admissions during the data collection period comprising 30,099 index admissions and 6,802 readmissions"
"4","National Heart Failure Audit 09/10","30/03/2010","National Audit","National","Not Applicable","TRUE","•	Data collected April 2010 – March 2011•	25530 admissions during the data collection period comprising 21294 index admissions and 4236 readmissions"
"5","NCEPOD - Bariatric Surgery: Too Lean a Service?","31/08/2010","National Audit","National","Not Applicable","TRUE","This NCEPOD report highlights the process of care for patients aged over 16, who underwent bariatric surgery for weight loss. The report takes a critical look at areas where the care of patients might have been improved during the whole patient journey, f"
"6","Carotid Interventions Audit Round 4","30/09/2011","National Audit","National","Not Applicable","TRUE","Round 4 Includes operations performed between 1st October 2010 – 30th September 2011"
"7","Carotid Interventions Audit Round 3","30/09/2010","National Audit","National","Not Applicable","TRUE","Round 3 includes operations performed between 1st October 2009 – 30th September 2010"
"8","Carotid Interventions Audit Round 2","30/09/2009","National Audit","National","Not Applicable","TRUE","Round 2 includes operations performed between 1st Jan 2008 – 30th September 2009"
"9","Myocardial Ischaemia National Audit project 11/12","31/03/2012","National Audit","National","Not Applicable","TRUE","The Myocardial Ischaemia National Audit Project (MINAP) began in late 1998 when a broadly based Steering Group developed a dataset for acute myocardial infarction. The dataset has been further expanded to cover the management of other acute coronary syndr"
"10","National Bowel Cancer Audit 2013","30/03/2012","National Audit","National","Not Applicable","TRUE","•	29,445 patients diagnosed with bowel cancer between April 2011 and March 2012 (Note there is some crossover with the 2012 audit dates)"
"11","National Bowel Cancer Audit 2012","31/07/2011","National Audit","National","Not Applicable","TRUE","•	29,026 patients diagnosed with bowel cancer between 1st August 2010 and 31st July 2011•	Data collection predates NICE Guidance although refers to it in the text as the audit was published after the guidance was released"
"12","National Bowel Cancer Audit 2011","31/07/2010","National Audit","National","Not Applicable","TRUE","•	28,260 patients diagnosed with bowel cancer between 1st August 2009 and 31st July 2010"
"13","National Dementia Audit 2012","31/10/2012","National Audit","National","Not Applicable","TRUE",""
"14","Wong A, Masters, J, Morgan G. (2012) Inadvertent hypothermia in a general adult intensive care unit: an audit of over 500 patients. British Journal of Anaesthesia, Vol. 108, p ii78","01/03/2012","Abstract / Conference Presentation","Local","No","TRUE",""
"15","Van de Berg AD. (2012) Guideline Adherence in primary Dental Care. Primary Dental Care Vol 1 pp 11-22","01/01/2012","Journal Article","Local","Yes","TRUE",""
"16","Verma A et al. (2012). Are pharmacists reducing COPD’S impact through smoking cessation and assessing inhaled steroid use? Respiratory medicine, Vol 106, pp 230-234.","01/02/2012","Journal Article","Local","Yes","TRUE",""
"17","Völlm BA et al. (2012). Prescribing of psychotropic medication for personality disordered patients in secure forensic settings. Journal of Forensic Psychiatry & Psychology, Vol 23, pp 200-216","01/04/2012","Journal Article","Local","Yes","TRUE",""
"18","Roberts SH et al. (2012) The impact and outputs from the Year of Care programme. Diabetic Medicine, Vol 29, Supp 1 p115","01/03/2012","Abstract / Conference Presentation","Multi-region","No","TRUE",""
"19","Mahmood A, Auldin M, Sultan A. (2012) Barriers for Anaesthetists in Performing Nerve Blocks with Ultrasound Guidance. British Journal of Medical practitioners. Vol 5","01/03/2012","Journal Article","Multi-region","Yes","TRUE",""
"20","Keay N, Rigge L & Laurence V. (2012) Best practice in small cell Lung Cancer: are we meeting national guidance? A 3 year audit of treatment and outcomes in Bournemouth, Dorset, UK.  Lung Cancer Vol 75 p S57","01/06/2012","Abstract / Conference Presentation","Local","No","TRUE",""
"21","Kyte J, Wilson PC, Dangoor A. (2012) Erlotinib in the treatment of non-small cell  lung cancer. Lung Cancer, Vol 75, p S6","01/06/2012","Abstract / Conference Presentation","Local","No","TRUE",""
"22","Ghosh R et al. (2012). Application of the 2007 NICE guidelines in the management of paediatric minor head injuries in a UK emergency department. Emergency Medicine Journal, Vol 29, pp 197-200","01/03/2012","Journal Article","Local","Yes","TRUE",""
"23","Highton L, Ekwobi C, & Rose V. (2012). Post-bariatric surgery body contouring in the NHS: a survey of UK bariatric surgeons. Journal of Plastic, Reconstructive & Aesthetic Surgery Vol  65(4), 426-432.","01/04/2012","Journal Article","National","Yes","TRUE",""
"24","Desikan SR et al (2012) Nice and warm: did nice guidance on peri-operative hypothermia make any difference? British Journal of Anaesthesia, Vol 108, p ii339","01/03/2012","Abstract / Conference Presentation","Local","No","TRUE",""
"25","Raga S et al. (2012) Introduction of cardiac CT into UK clinical practice: 12 month data and experience from a UK Cardiac Centre.  Journal of Cardiovascular Computed Tomography. Vol 6, Issue 4 supplement pS65","01/07/2012","Abstract / Conference Presentation","Local","No","TRUE",""
"26","Orr KE, Khan J & Turbitt L (2012) Addition of a temperature control component to the WHO surgical checklist reduces perioperative hypothermia. British Journal of Anaesthesia. Vol 109, p476","01/09/2012","Abstract / Conference Presentation","Local","No","TRUE",""
"27","Adams L & Jones W. (2012) The use of ultrasound in placement of epidurals amongst anaesthetic trainees. Regional Anaesthesia and Pain Medicine. Vol 37, Supp p E257","01/09/2012","Abstract / Conference Presentation","Local","No","TRUE",""
"28","Bhatti MII, Bosch OID (2012) Documentation of Regional Anaesthesia in a District Hospital. Regional Anaesthesia and Pain Medicine. Vol 37 No 7 Supp p E284","01/09/2012","Abstract / Conference Presentation","Local","No","TRUE",""
"29","Munro J et al (2012) oral intake in labour: a UK survey in collaboration with the Royal College of Midwives. International Journal of Obstetric Anaesthesia. Vol 21 p S54","01/05/2012","Abstract / Conference Presentation","National","No","TRUE",""
"30","Hawthorne G et al (2012). Diabetes care provision in UK primary care practices. Plos one, 7(7), e41562","30/06/2012","Journal Article","National","Yes","TRUE",""
"31","Price SJ et al. (2012) NICE guidance on the use of carmustine wafers in high grade gliomas: a national study on variation of practice. British Journal of Neurosurgery. Vol 26 pp 331-335","01/06/2012","Journal Article","National","Yes","TRUE",""
"32","Anantharchagan A, Chandrasekaran N, Nair V (2012) Intrapartum care: do we bother? An audit of practice in a District General Hospital. British Journal of Obstetrics and Gynaecology Vol 119 Supp 1 pp73-74","01/06/2012","Abstract / Conference Presentation","Local","No","TRUE",""
"33","Yulia A & Dutta S (2012) Timing of elective caesarean section – are we deviating from the NICE guidance? British Journal of Obstetrics and Gynaecology Vol 119 Supp 1 p87","01/06/2012","Abstract / Conference Presentation","Local","No","TRUE",""
"34","Towobola B (2012) Audit on indication for caesarean section. British Journal of Obstetrics and Gynaecology Vol 119 Supp 1 p154","01/06/2012","Abstract / Conference Presentation","Local","No","TRUE",""
"35","Lee F, Somoye G, Saleh S (2012) Management of ovarian cancer in primary care. British Journal of Obstetrics and Gynaecology Vol 119 Supp 1 p173","01/06/2012","Abstract / Conference Presentation","Local","No","TRUE",""
"36","Wahba J, O’Reilly R & Miskry T (2012) Adherence to published guidelines for the management of menorrhagia in primary and secondary care. British Journal of Obstetrics and Gynaecology. Vol 119 (June) RCOG Congress Abstracts Page 208","01/06/2012","Abstract / Conference Presentation","Local","No","TRUE",""
"37","Galea P, et al. (2012) Antenatal vitamin D supplementation in a multicultural population in a West London Hospital. British Journal of Obstetrics and Gynaecology. Vol 119, p64","01/06/2012","Abstract / Conference Presentation","Local","No","TRUE",""
"38","Noorani I et al. (2012) Spinal injuries in ventilated patients with Traumatic Brain Injury. Brain Injury. Vol 26, p679","21/03/2012","Abstract / Conference Presentation","Local","No","TRUE",""
"39","Driskell OJ et al (2012) Inappropriate requesting of glycated hemoglobin (Hb A1c) is widespread: assessment of prevalence, impact of national guidance, and practice-to-practice variability. Clinical Chemistry. Vol 58 pp 906-915","16/02/2012","Journal Article","Local","Yes","TRUE",""
"40","Dingle M, Palmer C, Hassanali N (2012) An audit of hip fracture pain management in a hospital emergency department. Academic Emergency Medicine. Vol 19, p747","01/06/2012","Abstract / Conference Presentation","Local","No","TRUE",""
"41","Bhamber N, Hassanm K & Quraishi NA (2012) An audit of a tertiary spinal unit’s adherence to NICE imaging guidelines in patients with suspicion of spinal metastases. European Spine Journal. Vol 21, Suppl 2 pS248","01/05/2012","Abstract / Conference Presentation","Local","No","TRUE",""
