"Audit ID","Recommendation"
"AUD679","CG15R1.10.1.1"
"AUD682","CG15R1.10.1.1"
"AUD685","CG15R1.10.1.1"
"AUD688","CG15R1.10.1.1"
"AUD691","CG15R1.10.1.1"
"AUD697","CG15R1.10.3.1"
"AUD694","CG15R1.9.2.1"
"AUD149","CG87R1.1.1"
"AUD150","CG87R1.1.1"
"AUD151","CG87R1.13.1"
"AUD152","CG87R1.2.1.4"
"AUD153","CG87R1.2.1.4"
"AUD174","CG87R1.3.2"
"AUD175","CG87R1.3.2"
"AUD176","CG87R1.3.2"
"AUD154","CG87R1.4.3"
"AUD502","CG87R1.10.1.1"
"AUD667","CG87R1.10.1.5"
"AUD658","CG87R1.12.1"
"AUD655","CG87R1.12.3"
"AUD664","CG87R1.3.1"
"AUD333","CG87R1.3.2"
"AUD646","CG87R1.3.2"
"AUD649","CG87R1.8.1"
"AUD670","CG87R1.8.5"
"AUD337","CG87R1.8.7"
"AUD334","CG87R1.9.2"
"AUD335","CG87R1.9.4"
"AUD506","CG87R1.9.4"
"AUD507","CG87R1.9.4"
"AUD508","CG87R1.9.4"
"AUD652","CG87R1.9.4"
