"Evidence statement GUID","Study GUID"
"CG15AdultES1","CG15AdultST8"
"CG15AdultES3","CG15AdultST9"
"CG15AdultES3","CG15AdultST10"
"CG15AdultES3","CG15AdultST11"
"CG15AdultES3","CG15AdultST12"
"CG15AdultES4","CG15AdultST13"
"CG15AdultES4","CG15AdultST14"
"CG15AdultES4","CG15AdultST15"
"CG15AdultES4","CG15AdultST16"
"CG15AdultES4","CG15AdultST17"
"CG15AdultES5","CG15AdultST18"
"CG15AdultES6","CG15AdultST15"
"CG15AdultES6","CG15AdultST19"
"CG15AdultES6","CG15AdultST20"
"CG15AdultES6","CG15AdultST21"
"CG15AdultES7","CG15AdultST22"
"CG15AdultES7","CG15AdultST23"
"CG15AdultES8","CG15AdultST24"
"CG15AdultES8","CG15AdultST25"
"CG15AdultES9","CG15AdultST26"
"CG15AdultES9","CG15AdultST27"
"CG15AdultES9","CG15AdultST28"
"CG15AdultES9","CG15AdultST29"
"CG15AdultES9","CG15AdultST30"
"CG15AdultES9","CG15AdultST31"
"CG15AdultES9","CG15AdultST32"
"CG15AdultES9","CG15AdultST33"
"CG15AdultES9","CG15AdultST34"
"CG15AdultES9","CG15AdultST35"
"CG15AdultES9","CG15AdultST36"
"CG15AdultES10","CG15AdultST37"
"CG15AdultES11","CG15AdultST38"
"CG15AdultES11","CG15AdultST39"
"CG15AdultES11","CG15AdultST40"
"CG15AdultES11","CG15AdultST41"
"CG15AdultES11","CG15AdultST42"
"CG15AdultES11","CG15AdultST43"
"CG15AdultES11","CG15AdultST44"
"CG15AdultES12","CG15AdultST45"
"CG15AdultES12","CG15AdultST46"
"CG15AdultES12","CG15AdultST47"
"CG15AdultES12","CG15AdultST48"
"CG15AdultES13","CG15AdultST49"
"CG15AdultES14","CG15AdultST12"
"CG15AdultES14","CG15AdultST50"
"CG15AdultES15","CG15AdultST51"
"CG15AdultES15","CG15AdultST52"
"CG15AdultES16","CG15AdultST53"
"CG15AdultES16","CG15AdultST54"
"CG15AdultES16","CG15AdultST55"
"CG15AdultES18","CG15AdultST334"
"CG15AdultES18","CG15AdultST335"
"CG15AdultES18","CG15AdultST297"
"CG15AdultES19","CG15AdultST62"
"CG15AdultES20","CG15AdultST63"
"CG15AdultES20","CG15AdultST64"
"CG15AdultES21","CG15AdultST65"
"CG15AdultES21","CG15AdultST66"
"CG15AdultES21","CG15AdultST67"
"CG15AdultES21","CG15AdultST68"
"CG15AdultES21","CG15AdultST69"
"CG15AdultES21","CG15AdultST70"
"CG15AdultES21","CG15AdultST71"
"CG15AdultES21","CG15AdultST72"
"CG15AdultES21","CG15AdultST73"
"CG15AdultES21","CG15AdultST74"
"CG15AdultES22","CG15AdultST67a"
"CG15AdultES23","CG15AdultST76"
"CG15AdultES24","CG15AdultST77"
"CG15AdultES25","CG15AdultST78"
"CG15AdultES26","CG15AdultST79"
"CG15AdultES28","CG15AdultST81"
"CG15AdultES29","CG15AdultST82"
"CG15AdultES30","CG15AdultST83"
"CG15AdultES31","CG15AdultST84"
"CG15AdultES32","CG15AdultST12"
"CG15AdultES33","CG15AdultST85"
"CG15AdultES34","CG15AdultST86"
"CG15AdultES35","CG15AdultST87"
"CG15AdultES36","CG15AdultST88"
"CG15AdultES37","CG15AdultST338"
"CG15AdultES37","CG15AdultST339"
"CG15AdultES37","CG15AdultST340"
"CG15AdultES38","CG15AdultST89"
"CG15AdultES39","CG15AdultST89"
"CG15AdultES40","CG15AdultST89"
"CG15AdultES41","CG15AdultST89"
"CG15AdultES42","CG15AdultST89"
"CG15AdultES43","CG15AdultST89"
"CG15AdultES44","CG15AdultST89"
"CG15AdultES45","CG15AdultST90"
"CG15AdultES46","CG15AdultST91"
"CG15AdultES47","CG15AdultST92"
"CG15AdultES48","CG15AdultST93"
"CG15AdultES49","CG15AdultST89"
"CG15AdultES50","CG15AdultST89"
"CG15AdultES51","CG15AdultST89"
"CG15AdultES51","CG15AdultST341"
"CG15AdultES52","CG15AdultST94"
"CG15AdultES52","CG15AdultST95"
"CG15AdultES52","CG15AdultST96"
"CG15AdultES52","CG15AdultST97"
"CG15AdultES53","CG15AdultST97"
"CG15AdultES54","CG15AdultST96"
"CG15AdultES55","CG15AdultST95"
"CG15AdultES56","CG15AdultST98"
"CG15AdultES57","CG15AdultST99"
"CG15AdultES58","CG15AdultST96"
"CG15AdultES59","CG15AdultST100"
"CG15AdultES60","CG15AdultST76"
"CG15AdultES61","CG15AdultST101"
"CG15AdultES62","CG15AdultST102"
"CG15AdultES63","CG15AdultST103"
"CG15AdultES64","CG15AdultST102"
"CG15AdultES65","CG15AdultST104"
"CG15AdultES66","CG15AdultST105"
"CG15AdultES67","CG15AdultST106"
"CG15AdultES68","CG15AdultST103"
"CG15AdultES69","CG15AdultST76"
"CG15AdultES70","CG15AdultST89"
"CG15AdultES71","CG15AdultST89"
"CG15AdultES72","CG15AdultST89"
"CG15AdultES73","CG15AdultST108"
"CG15AdultES74","CG15AdultST89"
"CG15AdultES75","CG15AdultST76"
"CG15AdultES76","CG15AdultST89"
"CG15AdultES77","CG15AdultST89"
"CG15AdultES78","CG15AdultST89"
"CG15AdultES79","CG15AdultST89"
"CG15AdultES80","CG15AdultST76"
"CG15AdultES81","CG15AdultST89"
"CG15AdultES82","CG15AdultST89"
"CG15AdultES83","CG15AdultST109"
"CG15AdultES83","CG15AdultST110"
"CG15AdultES83","CG15AdultST111"
"CG15AdultES84","CG15AdultST111"
"CG15AdultES85","CG15AdultST112"
"CG15AdultES86","CG15AdultST112"
"CG15AdultES87","CG15AdultST112"
"CG15AdultES88","CG15AdultST89"
"CG15AdultES89","CG15AdultST112"
"CG15AdultES89","CG15AdultST89"
"CG15AdultES90","CG15AdultST114"
"CG15AdultES91","CG15AdultST115"
"CG15AdultES92","CG15AdultST115"
"CG15AdultES93","CG15AdultST382"
"CG15AdultES94","CG15AdultST76"
"CG15AdultES94","CG15AdultST116"
"CG15AdultES95","CG15AdultST76"
"CG15AdultES97","CG15AdultST117"
"CG15AdultES98","CG15AdultST118"
"CG15AdultES99","CG15AdultST118"
"CG15AdultES99","CG15AdultST119"
"CG15AdultES100","CG15AdultST120"
"CG15AdultES101","CG15AdultST121"
"CG15AdultES102","CG15AdultST122"
"CG15AdultES103","CG15AdultST123"
"CG15AdultES104","CG15AdultST122"
"CG15AdultES104","CG15AdultST124"
"CG15AdultES105","CG15AdultST116"
"CG15AdultES105","CG15AdultST125"
"CG15AdultES106","CG15AdultST126"
"CG15AdultES106","CG15AdultST127"
"CG15AdultES106","CG15AdultST128"
"CG15AdultES107","CG15AdultST129"
"CG15AdultES108","CG15AdultST130"
"CG15AdultES109","CG15AdultST129"
"CG15AdultES110","CG15AdultST131"
"CG15AdultES111","CG15AdultST132"
"CG15AdultES112","CG15AdultST133"
"CG15AdultES113","CG15AdultST134"
"CG15AdultES113","CG15AdultST135"
"CG15AdultES113","CG15AdultST136"
"CG15AdultES114","CG15AdultST133"
"CG15AdultES114","CG15AdultST137"
"CG15AdultES114","CG15AdultST138"
"CG15AdultES114","CG15AdultST139"
"CG15AdultES114","CG15AdultST140"
"CG15AdultES114","CG15AdultST141"
"CG15AdultES114","CG15AdultST142"
"CG15AdultES114","CG15AdultST143"
"CG15AdultES114","CG15AdultST144"
"CG15AdultES114","CG15AdultST145"
"CG15AdultES115","CG15AdultST146"
"CG15AdultES115","CG15AdultST147"
"CG15AdultES115","CG15AdultST148"
"CG15AdultES116","CG15AdultST148"
"CG15AdultES116","CG15AdultST149"
"CG15AdultES117","CG15AdultST128"
"CG15AdultES117","CG15AdultST141"
"CG15AdultES117","CG15AdultST146"
"CG15AdultES118","CG15AdultST133"
"CG15AdultES118","CG15AdultST137"
"CG15AdultES118","CG15AdultST149"
"CG15AdultES119","CG15AdultST135"
"CG15AdultES119","CG15AdultST149"
"CG15AdultES119","CG15AdultST150"
"CG15AdultES120","CG15AdultST142"
"CG15AdultES121","CG15AdultST151"
"CG15AdultES121","CG15AdultST152"
"CG15AdultES122","CG15AdultST136"
"CG15AdultES123","CG15AdultST153"
"CG15AdultES123","CG15AdultST154"
"CG15AdultES124","CG15AdultST130"
"CG15AdultES125","CG15AdultST143"
"CG15AdultES125","CG15AdultST155"
"CG15AdultES126","CG15AdultST156"
"CG15AdultES127","CG15AdultST157"
"CG15AdultES127","CG15AdultST158"
"CG15AdultES127","CG15AdultST159"
"CG15AdultES127","CG15AdultST160"
"CG15AdultES128","CG15AdultST159"
"CG15AdultES128","CG15AdultST160"
"CG15AdultES129","CG15AdultST161"
"CG15AdultES129","CG15AdultST162"
"CG15AdultES130","CG15AdultST163"
"CG15AdultES131","CG15AdultST164"
"CG15AdultES134","CG15AdultST165"
"CG15AdultES135","CG15AdultST166"
"CG15AdultES136","CG15AdultST167"
"CG15AdultES137","CG15AdultST168"
"CG15AdultES138","CG15AdultST169"
"CG15AdultES139","CG15AdultST347"
"CG15AdultES139","CG15AdultST348"
"CG15AdultES139","CG15AdultST349"
"CG15AdultES140","CG15AdultST98"
"CG15AdultES141","CG15AdultST98"
"CG15AdultES142","CG15AdultST98"
"CG15AdultES143","CG15AdultST98"
"CG15AdultES144","CG15AdultST170"
"CG15AdultES145","CG15AdultST171"
"CG15AdultES146","CG15AdultST98"
"CG15AdultES147","CG15AdultST98"
"CG15AdultES148","CG15AdultST172"
"CG15AdultES148","CG15AdultST173"
"CG15AdultES153","CG15AdultST174"
"CG15AdultES154","CG15AdultST174"
"CG15AdultES155","CG15AdultST174"
"CG15AdultES156","CG15AdultST174"
"CG15AdultES157","CG15AdultST174"
"CG15AdultES158","CG15AdultST175"
"CG15AdultES159","CG15AdultST176"
"CG15AdultES160","CG15AdultST176"
"CG15AdultES161","CG15AdultST176"
"CG15AdultES162","CG15AdultST176"
"CG15AdultES163","CG15AdultST176"
"CG15AdultES164","CG15AdultST176"
"CG15AdultES165","CG15AdultST177"
"CG15AdultES166","CG15AdultST177"
"CG15AdultES167","CG15AdultST179"
"CG15AdultES168","CG15AdultST180"
"CG15AdultES169","CG15AdultST174"
"CG15AdultES170","CG15AdultST181"
"CG15AdultES171","CG15AdultST174"
"CG15AdultES172","CG15AdultST182"
"CG15AdultES172","CG15AdultST183"
"CG15AdultES172","CG15AdultST184"
"CG15AdultES173","CG15AdultST183"
"CG15AdultES173","CG15AdultST184"
"CG15AdultES174","CG15AdultST174"
"CG15AdultES175","CG15AdultST185"
"CG15AdultES175","CG15AdultST186"
"CG15AdultES176","CG15AdultST187"
"CG15AdultES177","CG15AdultST174"
"CG15AdultES178","CG15AdultST188"
"CG15AdultES179","CG15AdultST188"
"CG15AdultES180","CG15AdultST76"
"CG15AdultES181","CG15AdultST76"
"CG15AdultES182","CG15AdultST76"
"CG15AdultES183","CG15AdultST76"
"CG15AdultES184","CG15AdultST189"
"CG15AdultES185","CG15AdultST174"
"CG15AdultES186","CG15AdultST190"
"CG15AdultES187","CG15AdultST174"
"CG15AdultES188","CG15AdultST76"
"CG15AdultES189","CG15AdultST76"
"CG15AdultES190","CG15AdultST174"
"CG15AdultES191","CG15AdultST174"
"CG15AdultES192","CG15AdultST191"
"CG15AdultES193","CG15AdultST192"
"CG15AdultES194","CG15AdultST174"
"CG15AdultES195","CG15AdultST351"
"CG15AdultES195","CG15AdultST352"
"CG10ES1","CG10ST41"
"CG10ES1","CG10ST52"
"CG10ES1","CG10ST55"
"CG10ES1","CG10ST57"
"CG10ES1","CG10ST63"
"CG10ES1","CG10ST75"
"CG10ES1","CG10ST76"
"CG10ES1","CG10ST78"
"CG10ES1","CG10ST81"
"CG10ES1","CG10ST84"
"CG10ES1","CG10ST87"
"CG10ES1","CG10ST89"
"CG10ES1","CG10ST152"
"CG10ES1","CG10ST163"
"CG10ES1","CG10ST192"
"CG10ES2","CG10ST41"
"CG10ES2","CG10ST52"
"CG10ES2","CG10ST55"
"CG10ES2","CG10ST57"
"CG10ES2","CG10ST63"
"CG10ES2","CG10ST75"
"CG10ES2","CG10ST76"
"CG10ES2","CG10ST78"
"CG10ES2","CG10ST81"
"CG10ES2","CG10ST84"
"CG10ES2","CG10ST87"
"CG10ES2","CG10ST89"
"CG10ES2","CG10ST152"
"CG10ES2","CG10ST163"
"CG10ES2","CG10ST192"
"CG10ES3","CG10ST41"
"CG10ES3","CG10ST52"
"CG10ES3","CG10ST55"
"CG10ES3","CG10ST57"
"CG10ES3","CG10ST63"
"CG10ES3","CG10ST75"
"CG10ES3","CG10ST76"
"CG10ES3","CG10ST78"
"CG10ES3","CG10ST81"
"CG10ES3","CG10ST84"
"CG10ES3","CG10ST87"
"CG10ES3","CG10ST89"
"CG10ES3","CG10ST152"
"CG10ES3","CG10ST163"
"CG10ES3","CG10ST192"
"CG10ES4","CG10ST20"
"CG10ES4","CG10ST28"
"CG10ES4","CG10ST35"
"CG10ES4","CG10ST37"
"CG10ES4","CG10ST63"
"CG10ES4","CG10ST97"
"CG10ES4","CG10ST79"
"CG10ES4","CG10ST114"
"CG10ES4","CG10ST119"
"CG10ES4","CG10ST125"
"CG10ES4","CG10ST150"
"CG10ES4","CG10ST156"
"CG10ES4","CG10ST157"
"CG10ES4","CG10ST173"
"CG10ES4","CG10ST180"
"CG10ES5","CG10ST20"
"CG10ES5","CG10ST28"
"CG10ES5","CG10ST35"
"CG10ES5","CG10ST37"
"CG10ES5","CG10ST63"
"CG10ES5","CG10ST97"
"CG10ES5","CG10ST79"
"CG10ES5","CG10ST114"
"CG10ES5","CG10ST119"
"CG10ES5","CG10ST125"
"CG10ES5","CG10ST150"
"CG10ES5","CG10ST156"
"CG10ES5","CG10ST157"
"CG10ES5","CG10ST173"
"CG10ES5","CG10ST180"
"CG10ES6","CG10ST1"
"CG10ES6","CG10ST21"
"CG10ES6","CG10ST22"
"CG10ES6","CG10ST61"
"CG10ES6","CG10ST70"
"CG10ES6","CG10ST95"
"CG10ES6","CG10ST99"
"CG10ES6","CG10ST106"
"CG10ES6","CG10ST107"
"CG10ES6","CG10ST125"
"CG10ES6","CG10ST126"
"CG10ES6","CG10ST142"
"CG10ES6","CG10ST143"
"CG10ES6","CG10ST147"
"CG10ES6","CG10ST156"
"CG10ES6","CG10ST159"
"CG10ES6","CG10ST172"
"CG10ES6","CG10ST173"
"CG10ES6","CG10ST177"
"CG10ES6","CG10ST184"
"CG10ES6","CG10ST196"
"CG10ES7","CG10ST1"
"CG10ES7","CG10ST21"
"CG10ES7","CG10ST22"
"CG10ES7","CG10ST61"
"CG10ES7","CG10ST70"
"CG10ES7","CG10ST95"
"CG10ES7","CG10ST99"
"CG10ES7","CG10ST106"
"CG10ES7","CG10ST107"
"CG10ES7","CG10ST125"
"CG10ES7","CG10ST126"
"CG10ES7","CG10ST142"
"CG10ES7","CG10ST143"
"CG10ES7","CG10ST147"
"CG10ES7","CG10ST156"
"CG10ES7","CG10ST159"
"CG10ES7","CG10ST172"
"CG10ES7","CG10ST173"
"CG10ES7","CG10ST177"
"CG10ES7","CG10ST184"
"CG10ES7","CG10ST196"
"CG10ES8","CG10ST1"
"CG10ES8","CG10ST21"
"CG10ES8","CG10ST22"
"CG10ES8","CG10ST61"
"CG10ES8","CG10ST70"
"CG10ES8","CG10ST95"
"CG10ES8","CG10ST99"
"CG10ES8","CG10ST106"
"CG10ES8","CG10ST107"
"CG10ES8","CG10ST125"
"CG10ES8","CG10ST126"
"CG10ES8","CG10ST142"
"CG10ES8","CG10ST143"
"CG10ES8","CG10ST147"
"CG10ES8","CG10ST156"
"CG10ES8","CG10ST159"
"CG10ES8","CG10ST172"
"CG10ES8","CG10ST173"
"CG10ES8","CG10ST177"
"CG10ES8","CG10ST184"
"CG10ES8","CG10ST196"
"CG10ES8","CG10ST61"
"CG10ES8","CG10ST70"
"CG10ES8","CG10ST95"
"CG10ES8","CG10ST99"
"CG10ES8","CG10ST106"
"CG10ES8","CG10ST107"
"CG10ES8","CG10ST125"
"CG10ES8","CG10ST126"
"CG10ES8","CG10ST142"
"CG10ES8","CG10ST143"
"CG10ES8","CG10ST147"
"CG10ES8","CG10ST156"
"CG10ES8","CG10ST159"
"CG10ES8","CG10ST172"
"CG10ES8","CG10ST173"
"CG10ES8","CG10ST177"
"CG10ES8","CG10ST184"
"CG10ES8","CG10ST196"
"CG10ES9","CG10ST1"
"CG10ES9","CG10ST21"
"CG10ES9","CG10ST22"
"CG10ES9","CG10ST61"
"CG10ES9","CG10ST70"
"CG10ES9","CG10ST95"
"CG10ES9","CG10ST99"
"CG10ES9","CG10ST106"
"CG10ES9","CG10ST107"
"CG10ES9","CG10ST125"
"CG10ES9","CG10ST126"
"CG10ES9","CG10ST142"
"CG10ES9","CG10ST143"
"CG10ES9","CG10ST147"
"CG10ES9","CG10ST156"
"CG10ES9","CG10ST159"
"CG10ES9","CG10ST172"
"CG10ES9","CG10ST173"
"CG10ES9","CG10ST177"
"CG10ES9","CG10ST184"
"CG10ES9","CG10ST196"
"CG10ES10","CG10ST1"
"CG10ES10","CG10ST21"
"CG10ES10","CG10ST22"
"CG10ES10","CG10ST61"
"CG10ES10","CG10ST70"
"CG10ES10","CG10ST95"
"CG10ES10","CG10ST99"
"CG10ES10","CG10ST106"
"CG10ES10","CG10ST107"
"CG10ES10","CG10ST125"
"CG10ES10","CG10ST126"
"CG10ES10","CG10ST142"
"CG10ES10","CG10ST143"
"CG10ES10","CG10ST147"
"CG10ES10","CG10ST156"
"CG10ES10","CG10ST159"
"CG10ES10","CG10ST172"
"CG10ES10","CG10ST173"
"CG10ES10","CG10ST177"
"CG10ES10","CG10ST184"
"CG10ES10","CG10ST196"
"CG10ES11","CG10ST1"
"CG10ES11","CG10ST21"
"CG10ES11","CG10ST22"
"CG10ES11","CG10ST61"
"CG10ES11","CG10ST70"
"CG10ES11","CG10ST95"
"CG10ES11","CG10ST99"
"CG10ES11","CG10ST106"
"CG10ES11","CG10ST107"
"CG10ES11","CG10ST125"
"CG10ES11","CG10ST126"
"CG10ES11","CG10ST142"
"CG10ES11","CG10ST143"
"CG10ES11","CG10ST147"
"CG10ES11","CG10ST156"
"CG10ES11","CG10ST159"
"CG10ES11","CG10ST172"
"CG10ES11","CG10ST173"
"CG10ES11","CG10ST177"
