"Evidence statement GUID","Evidence statement","Evidence Category Code","Evidence statement subject","Set GUID"
"CG15AdultES1","Diagnosis, in regard of types of diabetes, is generally not addressed by the WHO report.8
That report notes that children present with severe symptoms, and that diagnosis is simply confirmed by blood glucose measurement (advice that may be regarded as dated) ","IV","-","CG15AdultS1"
"CG16AdultES2","WHO otherwise concentrates mainly on the situation pertaining to Type 2 diabetes, in doing
so noting (by reference to the 1985 report) the lack of need for challenge testing when plasma
glucose levels are high in the absence of other metabolic stress, and are confirmed by a second
laboratory measurement or classic symptoms.","-","-","CG15AdultS1"
"CG17AdultES3","The Diabetes Control and Complications Trial (DCCT),9 and smaller RCTs using improved management to judge the effect on patient outcomes, used multidisciplinary team input (in particular from specialist nurses and dietitians) as part of an integrated package to improve metabolic intermediate outcomes. A Cochrane review10 of diabetes specialist nurse input identified six heterogeneous studies unsuitable for meta-analysis, and found little evidence of longer-term impact on intermediate outcomes. An RCT11 of the impact of structured team care as compared to usual care showed improved satisfaction and blood glucose control at six months. An RCT12 of the use of diabetes specialist nurses to adjust insulin doses over the telephone showed improved blood glucose control.","Ib","Multidisciplinary care","CG15AdultS2"
"CG15AdultES4","A nurse specialist approach has been justified by a number of before-and-after studies and case series with such input13–17","II","Multidisciplinary care","CG15AdultS2"
"CG15AdultES5","A number of studies of variable quality address the impact of inclusion of podiatrists compared to normal care within what is then usually called a diabetes foot care team. These studies included one RCT showing more patient knowledge and less callosities at one year, and a controlled study18 (it is unclear whether that study is randomised) showing less foot ulceration","Ib","Multidisciplinary care","CG15AdultS2"
"CG15AdultES6","A number of historically-controlled or descriptive studies support this approach, mainly reporting on patient preference outcomes15,19–21","IV","Multidisciplinary care","CG15AdultS2"
"CG15AdultES7","No RCTs address the concept of integrated annual review. Newly-implemented structured annual review has been subject to a descriptive review,22 suggesting improved satisfaction with care and improved patient motivation. Few full-length descriptions of the review process are available,23 most references being editorials and letters","IV","Annual review","CG15AdultS2"
"CG15AdultES8","The current guideline suggests annual surveillance of a number of potentially developing late complications (as do all other guidelines for the most complications). The International Diabetes Federation’s European guideline recommends integration of these activities into one patient visit.24 Annual review is also the basis of many quality control structures proposed for diabetes care,25 including (implicitly) that of the UK Audit Commission","IV","Annual review","CG15AdultS2"
"CG15AdultES9","A series of descriptive papers appear to demonstrate the feasibility of establishing populationbased and clinic-based diabetes registers, with varying densities of information.26–36 A system of database-driven recall for complications surveillance is implicit in the recommendations for annual complications surveillance of this and published guidelines. Issues of data security and confidentiality are not reported to have proved to be problematic obstructions to the deployment
of diabetes registers","IV","Diabetes registers","CG15AdultS2"
"CG15AdultES10","Most papers in this area are descriptive, and there is inevitable overlap with deployment of multidisciplinary teams and provision of diabetes information and foot care. Using historical controls a study37 suggests improved blood glucose control, while another non-randomised study suggests improved survival (presumably mainly in people with Type 2 diabetes)","IIb","Diabetes centres and structured care","CG15AdultS2"
"CG15AdultES11","Although papers were ascertained addressing these areas,38–44 the papers were descriptive with no useful analysis of patient-related outcomes","IV","Structured records and care cards","CG15AdultS2"
"CG15AdultES12","A number of descriptive papers were identified,45–48 suggesting such approaches can be feasible and have utility, but not demonstrating comparative advantage to traditional approaches","IV","Electronic patient records and computer data analysis","CG15AdultS2"
"CG15AdultES13","However when such records were used to send judgemental letters to people with diabetes,49 randomising sites of care, intermediate outcomes were significantly improved (probably mainly in people with Type 2 diabetes)","Ib","Electronic patient records and computer data analysis","CG15AdultS2"
"CG15AdultES14","A number of approaches to medical care without direct patient contact are described in the literature. One RCT of a telecare system for insulin50 provided equivalent control at reduced cost, while another study12 using nurses resulted in improved blood glucose control","Ib","Telemedicine","CG15AdultS2"
"CG15AdultES15","In more rural and remote situations telemedicine can similarly provide apparent time and cost savings where images of foot problems51 and eye photographs52 need to be reviewed by specialists","Ib","Telemedicine","CG15AdultS2"
"CG15AdultES16","Three papers using historical controls or randomised controls address the value of multidisciplinary teams with a specialist interest in diabetes management in the care of inpatients on non-diabetes wards.53–55 Reduced length of inpatient stay is consistently reported. One study suggests improved glucose control.55 One study, also using historical controls, addresses length of stay in a developing country in newly-diagnosed people with
diabetes, showing much reduced stays with multidisciplinary team input","Ib/IIa","Inpatient care","CG15AdultS2"
"CG15AdultES17","No literature on the deployment or impact of diabetes guidelines was identified.","-","Guidelines","CG15AdultS2"
"CG15AdultES18","Two potentially useful papers consider the type of treatment facility used to deliver care to those with Type 1 diabetes.334,335 One German study334 found that the treatment facility (polyclinics, specialist clinics or general practitioners) makes no difference to diabetes-specific knowledge when this was controlled for age, sex and education. One UK study335 found no difference between hospital- and general practice-based care on a range of outcome measures for metabolic control, satisfaction with treatment or beliefs about diabetic control for a mixed
diabetic population. Some differences were observed in the surveillance for complications, with more frequent testing in integrated care. Whilst costly, it is worth noting that fewer patients defaulted from general practice-based care than conventional care. Avoided complications may offset the increased cost of general practice-based care, although this cannot be established on the basis of this study. One UK-based study297 suggested that the provision of a hospital-based diabetes specialist nurse lowered the cost per patient admission without producing a significant difference in readmission, quality of life or patient satisfaction.","-","Health economic evidence","CG15AdultS2"
"CG15AdultES19","The Diabetes Attitudes, Wishes and Needs (DAWN) questionnaire study 62 highlighted that emotional support, along with family support, was a key factor in how well people with diabetes manage their condition, with support networks being considered at least as important as the medication they take in helping them manage their diabetes. Interim results also indicate that people who do not have access to a community of support, especially the young or elderly living alone, may be less likely to be concordant with their medication regimes, putting them at risk of inadequate control of their diabetes","III","-","CG15AdultS3"
"CG15AdultES20","There are still significant numbers of people emerging from the confirmation of a diagnosis who are underinformed and unsupported. 63 Qualitative research of various designs examining the views and experiences of people with diabetes and carers has identified that many perceived benefits exist from meeting other people with diabetes. It has helped many to overcome the feelings of isolation and is seen as an opportunity to talk to others going through the same experience 64","IV","-","CG15AdultS3"
"CG15AdultES21","R esearch evaluating the effectiveness of support groups for patients and carers, across n umerous conditions and groups (not necessarily diabetes), has shown specific benefits including: 
? psychological and emotional benefits 65 including lower pain perception and improved ability to cope with stress 63,66–7 
?  reduction of carers’ burdens and stresses 68–9 
?  improvement in quality of life 70–71 
?  improved self-care through health promotion strategies which have been helpful in smoking cessation and management of chronic conditions 72–3 
?  improved access to health service provision 74 
?  reduced isolation, overcoming depression and loss of self-esteem 64 
?  better understanding of conditions, symptoms and healthcare systems through education and information. 67","III","-","CG15AdultS3"
"CG15AdultES22","The Diabetes UK network of support groups recorded 175,426 members in July 2003, with
around 7% under the age of 20 years and around 30% aged 70 years or over. Around 40% had paid for annual adult membership, 50% had a reduced rate membership (including children), and 10% had chosen life membership. The Diabetes UK Careline is, at the time of writing, one of the busiest sources of information for all people with Type 1 diabetes in the UK. In 2002, Careline were contacted 40,747 times (81% telephone, 13% e-mail, 6% post).  The five most frequent topics of enquiry recorded were:
67a
? diet
? insulin
? medicines other than insulin
? new diagnosis
? travel. ","III","-","CG15AdultS3"
"CG15AdultES23","There were no trials located in newly-diagnosed people with Type 1 diabetes specifically, or co ncerned with the initial content of educatio n. The American Diabetes Association (ADA) guidelines 76 suggest that as part of initial visit people should be referred to a diabetes educator if education is not provided by the physician or practice staff, but content of this education is not defined ","IV","Content of education","CG15AdultS5"
"CG15AdultES24","One small randomised controlled trial 77 co mparing the efficacy of classroom teaching of diabetes skills, compared to individualised learning, found that classroom teaching led to a gr eater level of awareness about diabetes self-care. However, there was no significant difference in terms of the level of use of self-care practices. Furthermore, the two education techniques provided no different outcome of levels of technical skill in self-care. However this study made no analysis of comparability of study groups at baseline and was not blinded ","Ib","Educational setting","CG15AdultS5"
"CG15AdultES25","One randomised controlled study compared two interactive computer schemes to reinforce an educational video. The first gave additional f eedback and information on the correct answers, the second only the correct answers. 78 Pe ople with diabetes in the interactive group scored significantly better in a follow-up test of diabetes knowledge than those following the standard scheme. There were no significant differences in use r ratings for the two software packages, but the people in the additional feedback group had a better diabetes knowledge at baseline, so the re sults may be biased by this confounding factor","Ib","Technology interventions","CG15AdultS5"
"CG15AdultES26","An update of the US standards for diabetes self-management education79 based on a literature review covered the organisation of diabetes self-management education, its content and provision. A multiprofessional task force encompassing all the major interested stakeholders agreed the following standards.
?Education and information-giving will involve the interaction of the individual with diabetes with a multifaceted education instructional team, which may include a behaviourist, exercise physiologist, ophthalmologist, optometrist, pharmacist, physician,podiatrist, registered dietitian, registered nurse, other healthcare professionals, and paraprofessionals.
?Instructors will obtain regular continuing education in the areas of diabetes management,behavioural interventions, teaching and learning skills and counselling skills.
?Assessed needs of the individual will determine which of the following content areas are delivered:
–describing the diabetes disease process and treatment options
–incorporating appropriate nutritional management
–incorporating physical activity into lifestyle
–utilising medications (if applicable) for therapeutic effectiveness
–monitoring blood glucose and urine ketones (where appropriate) and using results to improve control
–preventing, detecting and treating acute complications
–preventing (through risk reduction behaviour), detecting and treating chroniccomplications
–goal-setting to promote health, and problem-solving for daily living
–integrating psychosocial adjustment to daily life
–promoting preconception care, management during pregnancy and gestational diabetes management (if applicable).
?An individualised assessment, development of an education plan and periodic reassessment between participant and instructor will direct the selection of appropriate educational materials and interventions.
?The assessment includes relevant medical history, cultural influences, health beliefs and attitudes, diabetes knowledge, self-management skills and behaviours, readiness to learn,cognitive ability, physical limitations, family support and financial status.
?There shall be documentation of the individual’s assessment, education plan,intervention, evaluation and follow-up in the permanent confidential education record.","IV","Guidelines for self-management education","CG15AdultS5"
"CG15AdultES27","Within an overall review of patient education models for diabetes (not type-specific) one health technology assessment80 reviewing four controlled trials of a range of education programmes including items of self-management, self-monitoring, diet and the effects of insulin and exercise, taught by a variety of staff or self-taught, and as an initial intense course or as ongoing programmes, reported a variety of positive outcomes compared to normal care. This review found that one study had demonstrated improvements over 10 years in diabetic control, in ter ms of reduced HbA 1c levels. In another study, an intensive five-day training course was found to be effective in reducing HbA 1c levels. In one study there was no difference in blood gl ucose control with education compared to usual care, while there were no between-group co mparisons made in another other study. Education was also shown to improve blood pressure. There is limited evidence to suggest a reduced rate of ketoacidosis and reduced hospitalisation. However, there was no evidence to indicate that education can reduce body mass index. There is some data to suggest increased incidence of hypoglycaemic episodes. Long-term outcomes of retinopathy or neuro pathy were not found to be significantly affected by education, but there is some limited evidence to suggest nephropathy incidence is improved, although rates were low. Unsurprisingly, diabetes knowledge was significantly improved with education, although this was not true of quality of life. Overall the included trials were of moderate methodological rigour. Three of the trials included were investigating education in the context of intensification of treatment compared to normal care, and it is difficult to be sure that the benefits reported are directl y attributable to the education aspect of the intervention.","NICE","General education programmes","CG15AdultS5"
"CG15AdultES28","Metabolic control and quality of life were not found to be significantly affected by a structured outpatient programme of education led by a nurse, dietitian and other people with diabetes over four weeks in a large randomised trial as compared to conventional care81","Ib","General education programmes","CG15AdultS5"
"CG15AdultES29","A medium-sized randomised controlled trial 82 of a monthly education programme at which different aspects of diabetes treatment and technical skills were considered found that after one year of education HbA 1c levels were reduced compared with normal clinical care in people w ith Type 1 diabetes. However, age differences between the control and intervention groups at baseline mean that this study is possibly methodologically limited","Ib","General education programmes","CG15AdultS5"
"CG15AdultES30","A nother moderate-sized systematic review of eight trials encompassing over 3,000 patients with either Type 1 or Type 2 diabetes, 83 found that intensive vs brief education on foot care provided a significant decrease in incidence of foot ulcers, and in one trial amputations, but no difference in the same outcomes over seven years in another study. This is despite three trials reporting successful uptake of messages regarding foot care behaviour. Another trial reported in this re vi ew found that an intensive educational inter ve ntion including both people with diabetes and doctors improved the prevalence of serious foot lesions compared to usual care, although the composite outcome of all foot lesions and amputations was not significantly improved. Au thors of the review noted methodological limitations of the included studies, and outcome re porting times varied between individual trials","Ia","General education programmes","CG15AdultS5"
"CG15AdultES31","Ev aluation, in a large systematic review, 84 of a range of diabetes self-management education (DSME) programmes compared to normal routine levels in populations of people with diabetes found that interventions based in community gathering places were able to reduce blood glycated haemoglobin (GHb) and fasting blood glucose levels. There is some evidence that they can also improve diabetes knowledge and improve physical activity (minutes of walking). Other trials reviewed that were based in the home setting – half of which included c hildren or adolescents – showed a significant decrease in GHb after DSME, and a borderline 6 Education programmes and self-care beneficial effect on weight for people undergoing DSME as compared to conventional care. Specific analysis in patients with Type 1 diabetes found no significant change in diabetes knowledge with such programmes","Ia","Diabetes self-management education","CG15AdultS5"
"CG15AdultES32","A small randomised controlled trial 12 in people with Type 1 diabetes found that an intervention wh ereby patients received regular telephone contact with a diabetes nurse to alter insulin re g imen decreased HbA 1c ov er six months compared to usual care. This difference was not found to be affected by age, sex or type of diabetes","Ib","Other educational interventions","CG15AdultS5"
"CG15AdultES33","There are no systematic reviews and few prospective randomised studies that report on methods to improve concordance in self-management in people with Type 1 diabetes. One small unblinded study, 85 w hich was methodologically limited owing to high drop-out rates and inequalities in patient characteristics at baseline, found that an intervention of a self-taught study programme to improve self-control behaviour was able to demonstrate improved adherence to goals of self-monitoring of blood glucose level over 12 weeks. The intervention included a wide range of educational and behavioural choice items, and the relative effectiveness of any of these is hard to define. The methodological limitations of the study w ould not form a rigorous basis for recommending such an approach","Ib","Behavioural and education interventions","CG15AdultS5"
