"Question GUID","Search Strategy GUID"
"CG15AdultQ1","CG15AdultSS1"
"CG15AdultQ2","CG15AdultSS1"
"CG15AdultQ3","CG15AdultSS1"
"CG15AdultQ4","CG15AdultSS1"
"CG15AdultQ5","CG15AdultSS4"
"CG15AdultQ5","CG15AdultSS9"
"CG15AdultQ5","CG15AdultSS6"
"CG15AdultQ5","CG15AdultSS2"
"CG15AdultQ6","CG15AdultSS1"
"CG15AdultQ7","CG15AdultSS35"
"CG15AdultQ7","CG15AdultSS28"
"CG15AdultQ7","CG15AdultSS22"
"CG15AdultQ7","CG15AdultSS20"
"CG15AdultQ7","CG15AdultSS31"
"CG15AdultQ8","CG15AdultSS35"
"CG15AdultQ8","CG15AdultSS28"
"CG15AdultQ8","CG15AdultSS22"
"CG15AdultQ8","CG15AdultSS20"
"CG15AdultQ8","CG15AdultSS31"
"CG15AdultQ9","CG15AdultSS34"
"CG15AdultQ9","CG15AdultSS27"
"CG15AdultQ9","CG15AdultSS22"
"CG15AdultQ9","CG15AdultSS20"
"CG15AdultQ10","CG15AdultSS34"
"CG15AdultQ10","CG15AdultSS27"
"CG15AdultQ10","CG15AdultSS22"
"CG15AdultQ10","CG15AdultSS20"
"CG15AdultQ11","CG15AdultSS35"
"CG15AdultQ11","CG15AdultSS28"
"CG15AdultQ11","CG15AdultSS22"
"CG15AdultQ11","CG15AdultSS20"
"CG15AdultQ14","CG15AdultSS36"
"CG15AdultQ14","CG15AdultSS29"
"CG15AdultQ14","CG15AdultSS23"
"CG15AdultQ14","CG15AdultSS21"
"CG15AdultQ20","CG15AdultSS1"
"CG15AdultQ21","CG15AdultSS1"
"CG15AdultQ22","CG15AdultSS1"
"CG15AdultQ23","CG15AdultSS35"
"CG15AdultQ23","CG15AdultSS28"
"CG15AdultQ23","CG15AdultSS22"
"CG15AdultQ23","CG15AdultSS20"
"CG15AdultQ25","CG15AdultSS34"
"CG15AdultQ25","CG15AdultSS27"
"CG15AdultQ25","CG15AdultSS22"
"CG15AdultQ25","CG15AdultSS20"
"CG15AdultQ26","CG15AdultSS34"
"CG15AdultQ26","CG15AdultSS27"
"CG15AdultQ26","CG15AdultSS22"
"CG15AdultQ26","CG15AdultSS20"
"CG15AdultQ68","CG15AdultSS35"
"CG15AdultQ68","CG15AdultSS28"
"CG15AdultQ68","CG15AdultSS22"
"CG15AdultQ68","CG15AdultSS20"
"CG15AdultQ27","CG15AdultSS0"
"CG15AdultQ29","CG15AdultSS0"
"CG15AdultQ28","CG15AdultSS35"
"CG15AdultQ28","CG15AdultSS28"
"CG15AdultQ28","CG15AdultSS22"
"CG15AdultQ28","CG15AdultSS20"
"CG15AdultQ30","CG15AdultSS35"
"CG15AdultQ30","CG15AdultSS17"
"CG15AdultQ30","CG15AdultSS13"
"CG15AdultQ30","CG15AdultSS12"
"CG15AdultQ31","CG15AdultSS35"
"CG15AdultQ31","CG15AdultSS17"
"CG15AdultQ31","CG15AdultSS13"
"CG15AdultQ31","CG15AdultSS12"
"CG15AdultQ32","CG15AdultSS1"
"CG15AdultQ33","CG15AdultSS35"
"CG15AdultQ33","CG15AdultSS17"
"CG15AdultQ33","CG15AdultSS13"
"CG15AdultQ71","CG15AdultSS35"
"CG15AdultQ71","CG15AdultSS25"
"CG15AdultQ71","CG15AdultSS22"
"CG15AdultQ35","CG15AdultSS1"
"CG15AdultQ36","CG15AdultSS35"
"CG15AdultQ36","CG15AdultSS17"
"CG15AdultQ36","CG15AdultSS13"
"CG15AdultQ37","CG15AdultSS37"
"CG15AdultQ37","CG15AdultSS30"
"CG15AdultQ37","CG15AdultSS24"
"CG15AdultQ38","CG15AdultSS37"
"CG15AdultQ38","CG15AdultSS30"
"CG15AdultQ38","CG15AdultSS24"
"CG15AdultQ39","CG15AdultSS1"
"CG15AdultQ40","CG15AdultSS5"
"CG15AdultQ40","CG15AdultSS10"
"CG15AdultQ40","CG15AdultSS7"
"CG15AdultQ41","CG15AdultSS37"
"CG15AdultQ41","CG15AdultSS19"
"CG15AdultQ41","CG15AdultSS15"
"CG15AdultQ42","CG15AdultSS37"
"CG15AdultQ42","CG15AdultSS19"
"CG15AdultQ42","CG15AdultSS15"
"CG15AdultQ43","CG15AdultSS37"
"CG15AdultQ43","CG15AdultSS19"
"CG15AdultQ43","CG15AdultSS15"
"CG15AdultQ44","CG15AdultSS36"
"CG15AdultQ44","CG15AdultSS29"
"CG15AdultQ44","CG15AdultSS23"
"CG15AdultQ44","CG15AdultSS21"
"CG15AdultQ45","CG15AdultSS36"
"CG15AdultQ45","CG15AdultSS29"
"CG15AdultQ45","CG15AdultSS23"
"CG15AdultQ45","CG15AdultSS21"
"CG15AdultQ46","CG15AdultSS36"
"CG15AdultQ46","CG15AdultSS18"
"CG15AdultQ46","CG15AdultSS14"
"CG15AdultQ47","CG15AdultSS36"
"CG15AdultQ47","CG15AdultSS18"
"CG15AdultQ47","CG15AdultSS14"
"CG15AdultQ48","CG15AdultSS32"
"CG15AdultQ48","CG15AdultSS25"
"CG15AdultQ48","CG15AdultSS22"
"CG15AdultQ48","CG15AdultSS20"
"CG15AdultQ49","CG15AdultSS35"
"CG15AdultQ49","CG15AdultSS28"
"CG15AdultQ49","CG15AdultSS22"
"CG15AdultQ49","CG15AdultSS20"
"CG15AdultQ50","CG15AdultSS35"
"CG15AdultQ50","CG15AdultSS28"
"CG15AdultQ50","CG15AdultSS22"
"CG15AdultQ50","CG15AdultSS20"
"CG15AdultQ51","CG15AdultSS35"
"CG15AdultQ51","CG15AdultSS17"
"CG15AdultQ51","CG15AdultSS13"
"CG15AdultQ52","CG15AdultSS35"
"CG15AdultQ52","CG15AdultSS28"
"CG15AdultQ52","CG15AdultSS22"
"CG15AdultQ52","CG15AdultSS20"
"CG15AdultQ53","CG15AdultSS32"
"CG15AdultQ53","CG15AdultSS25"
"CG15AdultQ53","CG15AdultSS22"
"CG15AdultQ53","CG15AdultSS20"
"CG15AdultQ54","CG15AdultSS32"
"CG15AdultQ54","CG15AdultSS25"
"CG15AdultQ54","CG15AdultSS22"
"CG15AdultQ54","CG15AdultSS20"
"CG15AdultQ55","CG15AdultSS32"
"CG15AdultQ55","CG15AdultSS16"
"CG15AdultQ55","CG15AdultSS13"
"CG15AdultQ55","CG15AdultSS12"
"CG15AdultQ56","CG15AdultSS32"
"CG15AdultQ56","CG15AdultSS16"
"CG15AdultQ56","CG15AdultSS13"
"CG15AdultQ56","CG15AdultSS12"
"CG15AdultQ57","CG15AdultSS35"
"CG15AdultQ57","CG15AdultSS17"
"CG15AdultQ57","CG15AdultSS13"
"CG15AdultQ58","CG15AdultSS35"
"CG15AdultQ58","CG15AdultSS28"
"CG15AdultQ58","CG15AdultSS22"
"CG15AdultQ59","CG15AdultSS35"
"CG15AdultQ59","CG15AdultSS17"
"CG15AdultQ59","CG15AdultSS13"
"CG15AdultQ60","CG15AdultSS35"
"CG15AdultQ60","CG15AdultSS28"
"CG15AdultQ60","CG15AdultSS22"
"CG15AdultQ61","CG15AdultSS35"
"CG15AdultQ61","CG15AdultSS16"
"CG15AdultQ61","CG15AdultSS13"
"CG15AdultQ62","CG15AdultSS35"
"CG15AdultQ62","CG15AdultSS16"
"CG15AdultQ62","CG15AdultSS13"
"CG15AdultQ16","CG15AdultSS35"
"CG15AdultQ16","CG15AdultSS28"
"CG15AdultQ16","CG15AdultSS22"
"CG15AdultQ16","CG15AdultSS20"
"CG15AdultQ16","CG15AdultSS31"
"CG15AdultQ17","CG15AdultSS35"
"CG15AdultQ17","CG15AdultSS28"
"CG15AdultQ17","CG15AdultSS22"
"CG15AdultQ17","CG15AdultSS20"
"CG15AdultQ17","CG15AdultSS31"
"CG15AdultQ18","CG15AdultSS1"
"CG15AdultQ19 ","CG15AdultSS35"
"CG15AdultQ19 ","CG15AdultSS28"
"CG15AdultQ19 ","CG15AdultSS22"
"CG15AdultQ19 ","CG15AdultSS20"
"CG15AdultQ19 ","CG15AdultSS31"
"CG15AdultQ24","CG15AdultSS35"
"CG15AdultQ24","CG15AdultSS28"
"CG15AdultQ24","CG15AdultSS22"
"CG15AdultQ24","CG15AdultSS20"
"CG15AdultQ65","CG15AdultSS11"
"CG15AdultQ66","CG15AdultSS35"
"CG15AdultQ66","CG15AdultSS28"
"CG15AdultQ66","CG15AdultSS22"
"CG15AdultQ66","CG15AdultSS20"
"CG15AdultQ67","CG15AdultSS35"
"CG15AdultQ67","CG15AdultSS28"
"CG15AdultQ67","CG15AdultSS22"
"CG15AdultQ67","CG15AdultSS20"
"CG15AdultQ70","CG15AdultSS35"
"CG15AdultQ70","CG15AdultSS28"
"CG15AdultQ70","CG15AdultSS22"
"CG15AdultQ70","CG15AdultSS20"
"CG15AdultQ72","CG15AdultSS33"
"CG15AdultQ72","CG15AdultSS26"
"CG15AdultQ72","CG15AdultSS22"
"CG15AdultQ72","CG15AdultSS20"
"CG15AdultQ73","CG15AdultSS3"
"CG15AdultQ73","CG15AdultSS8"
"CG15AdultQ73","CG15AdultSS6"
"CG15AdultQ73","CG15AdultSS2"
"CG15AdultQ74","CG15AdultSS35"
"CG15AdultQ74","CG15AdultSS28"
"CG15AdultQ74","CG15AdultSS22"
"CG10Q1","CG66SS1"
"CG10Q1","CG66SS2"
"CG10Q1","CG66SS3"
"CG10Q1","CG66SS4"
"CG10Q1","CG66SS5"
"CG10Q1","CG66SS6"
"CG10Q1","CG66SS7"
