"Question GUID","Question"
"CG15AdultQ1","What is the working clinical definition for Type 1 Diabetes?"
"CG15AdultQ2","What is the current burden and trend in burden of Type 1 diabetes in England and Wales?"
"CG15AdultQ3","What symptoms are suggestive of a diagnosis of Type 1 diabetes?"
"CG15AdultQ4","Which diagnostic tests can confirm diagnosis in a person with suspected Type 1 diabetes?"
"CG15AdultQ5","What is the evidence on optimal structures of care, which enable healthcare professionals to give assistance, education and advice to adults with Type 1 diabetes?"
"CG15AdultQ6","What support groups help adults with Type 1 diabetes and their families to cope with diabetes?"
"CG15AdultQ7","What are the optimal methods of delivering education to adults with Type 1 diabetes?"
"CG15AdultQ8","In adults with Type 1 diabetes, what are the optimal methods to improve concordance with self-management? "
"CG15AdultQ9","What is the optimum form of self-monitoring of glucose control in adults with Type 1 diabetes?"
"CG15AdultQ10","What is the optimum regimen of self-monitoring of glucose control in adults with stable Type 1 diabetes? "
"CG15AdultQ11","What dietary advice should be given to adults with Type 1 diabetes to maintain optimal metabolic control? "
"CG15AdultQ14","What advice about exercise participation should be given to adults with Type 1 diabetes to maintain optimal blood glucose control? "
"CG15AdultQ20","What recommendations can be made for the special needs of members of minority ethnic communities with diabetes? "
"CG15AdultQ21","What precautions and lifestyle changes do adults living with Type 1 diabetes need to make to maintain metabolic control?"
"CG15AdultQ22","What is an acceptable level of blood glucose control in adults with Type 1 diabetes for the avoidance of complications?"
"CG15AdultQ23","What are the optimal methods of managing glucose control in inpatients with stable Type 1 diabetes?"
"CG15AdultQ25","What is the optimum method of clinically monitoring blood glucose control?"
"CG15AdultQ26","What is the optimum frequency of clinically monitoring blood glucose control? "
"CG15AdultQ68","In newly-diagnosed adults with Type 1 diabetes (excluding those still requiring hospital inpatient treatment) what initial insulin regimens aid glycaemic control?"
"CG15AdultQ27","What types of insulin regimen aid optimal diabetic control in adults with stable Type 1 diabetes?"
"CG15AdultQ29","In adults with Type 1 diabetes and poorly-controlled blood glucose what insulin regimens can improve diabetic control?"
"CG15AdultQ28","What specific advice can be given to adults with Type 1 diabetes for the management and prevention of hypoglycaemia?"
"CG15AdultQ30","What method of insulin delivery aids optimal diabetic control in adults with stable Type 1 diabetes?"
"CG15AdultQ31","In adults with Type 1 diabetes and poorly-controlled blood glucose what methods of insulin delivery can improve diabetic control?"
"CG15AdultQ32","Are there sub-groups of adults with Type 1 diabetes who need a different insulin delivery method to aid optimal diabetic control?"
"CG15AdultQ33","Can combination therapy (oral glucose lowering drugs and insulin) improve blood glucose control compared to insulin therapy alone in adults with Type 1 diabetes?"
"CG15AdultQ71","What is the most appropriate medical intervention for adults with Type 1 diabetes with severe hypoglycaemia?"
"CG15AdultQ35","What is an acceptable level of blood pressure control in adults with Type 1 diabetes?"
"CG15AdultQ36","In adults with Type 1 diabetes and hypertension, what is optimum intervention to lower blood pressure?"
