"Recommendation GUID","Recommendation body","Recommendation title","Recommendation Grade Code","Set GUID"
"CG15R1.6.1.1","Diabetes should be confirmed by a single diagnostic laboratory glucose measurement in the presence of classical symptoms, or by a further laboratory glucose measurement. The diagnosis may be supported by a raised HbA1c","Confirming diabetes","D","CG15AdultS1"
"CG15R1.6.1.2","Where diabetes is diagnosed, but Type 2 diabetes suspected, the diagnosis of Type 1 diabetes should be considered if:
?ketonuria is detected, or
?weight loss is marked, or
?the person does not have features of the metabolic syndrome or other contributing
illness.","When to consider Type 1 diabetes","D","CG15AdultS1"
"CG15R1.6.1.3","When diabetes is diagnosed in a younger person, the possibility that the diabetes is not Type 1 diabetes should be considered if they are obese or have a family history of diabetes, particularly if they are of non-white ethnicity. ","Diabetes in a younger person","D","CG15AdultS1"
"CG15R1.6.1.4","Tests to detect specific auto-antibodies or to measure C-peptide deficiency should not be regularly used to confirm the diagnosis of Type 1 diabetes. Their use should be considered if predicting the rate of decline of islet B-cell function would be useful in discriminating Type 1 from Type 2 diabetes. ","Auto-antibodies or C-peptide tests","D","CG15AdultS1"
"CG15R1.7.1.1","Advice to adults with Type 1 diabetes should be provided by a range of professionals with skills in diabetes care working together in a coordinated approach. A common environment (diabetes centre) is an important resource in allowing a diabetes multidisciplinary team to work and communicate efficiently while providing consistent advice.","Multidisciplinary teams provide advice","D","CG15AdultS2"
"CG15R1.7.1.2","Open access services should be provided on a walk-in and telephone-request basis during working hours to adults with Type 1 diabetes, and a helpline staffed by people with specific diabetes expertise should be provided on a 24-hour basis. Adults with diabetes should be provided with contact information for these services.","Open access to services","C","CG15AdultS2"
"CG15R1.7.1.3","Each adult with type 1 diabetes should be managed as  an individual, rather than as a member of any cultural, economic or health-affected group. Attention should be paid to the recommendations given elsewhere in this guideline with respect to the cultural preferences of individual adults with type 1 diabetes.","Manage as an individual","D","CG15AdultS2"
"CG15R1.7.1.4","An individual care plan should be set up and reviewed annually, modified according to changes in wishes, circumstances and medical findings, and the details recorded. The plan should include aspects of:
? diabetes education including nutritional advice (see section 6.1, ‘Education
programmes for adults with Type 1 diabetes’ and 6.3, ‘Dietary management’)
? insulin therapy (see section 7.3, ‘Insulin regimens’ and 7.4, ‘Insulin delivery’)
? self-monitoring (see section 6.2, ‘Self-monitoring of blood glucose’)
? arterial risk factor surveillance and management (see chapter 8, ‘Arterial risk control’)
? late complications surveillance and management (see sections on late complications)
? means and frequency of communication with the professional care team
? follow-up consultations including next annual review.","Set up individual care plan","D","CG15AdultS2"
"CG15R1.7.1.5","Population, practice-based and clinic diabetes registers (as specified by the national service framework) should be used to assist programmed recall for annual review and assessment of complications and vascular risk.","Use registers for annual review recall","D","CG15AdultS2"
"CG15R1.7.1.6","Conventional technology (telephones), or newer technologies for high-density data transmission of images, should be used to improve process and outcomes.","Use technology for better image sharing","A","CG15AdultS2"
"CG15R1.7.1.7","The multidisciplinary team approach should be available to inpatients with Type 1 diabetes, regardless of the reason for admission (see section 13.3, ‘Inpatient management’).","Multidisciplinary team availabile for all","D","CG15AdultS2"
"CG15R1.7.2.1 ","At the time of diagnosis and periodically thereafter, adults with Type 1 diabetes should be offered up-to-date information on the existence of and means of contacting diabetes support groups (local and national) and the benefits of membership.","Support groups","C","CG15AdultS3"
