"Search Strategy GUID","Strategy Type","Population","Study Type","Database","Year","Intervention","Outcome","Comparator"
"CG15AdultSS0","Not specified","-","-","-","-","","",""
"CG15AdultSS1","Expert review","-","-","-","-","","",""
"CG15AdultSS2","Database search","Adults T1DM ","All studies","CINAHL","1982–2003","","",""
"CG15AdultSS3","Database search","Adults T1DM ","All studies","Cochrane Library","-","","",""
"CG15AdultSS4","Database search","Adults T1DM ","All studies","Cochrane Library","1980-2003","","",""
"CG15AdultSS5","Database search","Adults T1DM ","All studies","Cochrane Library","1990–2003","","",""
"CG15AdultSS6","Database search","Adults T1DM ","All studies","Embase","1980–2003","","",""
"CG15AdultSS7","Database search","Adults T1DM ","All studies","Embase","1990–2003","","",""
"CG15AdultSS8","Database search","Adults T1DM ","All studies","Medline","1966–2003","","",""
"CG15AdultSS9","Database search","Adults T1DM ","All studies","Medline","1980–2003","","",""
"CG15AdultSS10","Database search","Adults T1DM ","All studies","Medline","1990–2003","","",""
"CG15AdultSS11","Database search","Adults T1DM ","Guidelines","WWW","1985","","",""
"CG15AdultSS12","Database search","Adults T1DM ","RCTs","CINAHL","1982–2003","","",""
"CG15AdultSS13","Database search","Adults T1DM ","RCTs","Embase","1980–2003","","",""
"CG15AdultSS14","Database search","Adults T1DM ","RCTs","Embase","1985–2003","","",""
"CG15AdultSS15","Database search","Adults T1DM ","RCTs","Embase","1990–2003","","",""
"CG15AdultSS16","Database search","Adults T1DM ","RCTs","Medline","1966–2003","","",""
"CG15AdultSS17","Database search","Adults T1DM ","RCTs","Medline","1980–2003","","",""
"CG15AdultSS18","Database search","Adults T1DM ","RCTs","Medline","1985–2003","","",""
"CG15AdultSS19","Database search","Adults T1DM ","RCTs","Medline","1990–2003","","",""
"CG15AdultSS20","Database search","Adults T1DM ","RCTs, cohorts","CINAHL","1982–2003","","",""
"CG15AdultSS21","Database search","Adults T1DM ","RCTs, cohorts","CINAHL","1985–2003","","",""
"CG15AdultSS22","Database search","Adults T1DM ","RCTs, cohorts","Embase","1980–2003","","",""
"CG15AdultSS23","Database search","Adults T1DM ","RCTs, cohorts","Embase","1985–2003","","",""
"CG15AdultSS24","Database search","Adults T1DM ","RCTs, cohorts","Embase","1990–2003","","",""
"CG15AdultSS25","Database search","Adults T1DM ","RCTs, cohorts","Medline","1966–2003","","",""
"CG15AdultSS26","Database search","Adults T1DM ","RCTs, cohorts","Medline","1970–2003","","",""
"CG15AdultSS27","Database search","Adults T1DM ","RCTs, cohorts","Medline","1977–2003","","",""
"CG15AdultSS28","Database search","Adults T1DM ","RCTs, cohorts","Medline","1980–2003","","",""
"CG15AdultSS29","Database search","Adults T1DM ","RCTs, cohorts","Medline","1985–2003","","",""
"CG15AdultSS30","Database search","Adults T1DM ","RCTs, cohorts","Medline","1990–2003","","",""
