"Set GUID","Topic","Sub Topic","Set rationale","Set discussion"
"CG15AdultS1","Diagnosis","Diagnosis","The diagnosis of Type 1 diabetes would not appear to present any problems. It is, however, a lifelong condition requiring treatment with a therapy of considerable health and social impact (insulin injections) so it is important that the diagnosis is secure. Considerations also arise over differentiating the types of diabetes.","The group endorsed the commentary discussed above, and concluded that simple
recommendations were all that were required. Although in this condition diagnosis of diabetes is rarely in doubt, errors do arise in attribution of diabetes type on occasions, and this is known to result in negative consequences including failure to anticipate ketoacidosis or unnecessary insulin therapy. Accordingly the group felt that cautionary recommendations were in order. The group noted that formal evidence of the utility of tests to distinguish type of diabetes by auto-immune markers or measures of islet B-cell function was not positive, and that these tests were not routinely performed. The group were keen to reiterate the importance of laboratory glucose estimation in line with WHO recommendations to avoid the very rare misdiagnoses with lifelong consequences. The25 role of symptoms and of HbA1c estimation were seen as useful but only supportive, as both lack absolute specificity."
"CG15AdultS2","Care process and support","Optimal healthcare processes","The management of diabetes is multidimensional, and each dimension is multifaceted. Notable dimensions include diagnosis and associated management, preventative long-term care, hospital and emergency management, and detection and management of late-developing complications. With each of these dimensions a number of care areas are found (for example in long-term prevention, glucose control, blood pressure control, risk factor surveillance, blood lipid control and smoking), and for each care area a number of deliverables addressed (for example in blood glucose control: knowledge and basis of targets, injection skills, selfmonitoring, dose adjustment, dietary matching, hypoglycaemia management, sick day management) by a number of different members of a multidisciplinary team. This
multidimensional care delivery requirement has spawned diverse attempts aimed at ensuring optimal care is available to all those with diabetes. This section of the guideline seeks to examine what evidence is available to support some of these approaches.","The group endorsed the approaches suggested by the evidence, but noted that attempts to implement some of the recommendations in the past had been inhibited by funding difficulties.This however was not felt to be a barrier to reiterating the health gains to be obtained. It was noted that recent publications (beyond the cut-off date of the searches) supported some of the recommendations further, including those relating to specialist nurses. The UK’s national service framework for diabetes was noted to have endorsed diabetes registers. The group recognised the lack of any kind of formal evidence relating to walk-in, telephone-request and out-of-hours services."
"CG15AdultS3","Care process and support","Support groups","As having Type 1 diabetes can have a major impact on lifestyle and self-esteem, it would appear
that support groups could have a role in providing for some needs outside the professional
environment and even separately from immediate carers. The range of such potential input is
large and might stretch from simply fulfilling a need for belonging, through to helping with
diabetes-related financial problems (such as insurance), and even providing a further source of
diabetes-related information. Coping with diabetes, or any other condition, is influenced not only by psychological characteristics of the individual but also by social relationships (eg support and communication byhealthcare team, family and friends). Informal interpersonal variables, such as social resources and support, have been found to be associated with better diabetes self-management,56–7 family environment,58–60 and marital interaction.61  A medical condition is only one aspect that affects the make-up of an individual’s personal identity, and for some may be perceived as a minor factor compared to their environmental and social circumstances.  A ‘support group’ is defined in this guideline as a group of people with Type 1 diabetes that comes together to provide support to themselves and others in their locality. Members are usually unpaid and many will be supported under the auspices of national (or local) voluntary organisations. Support groups have become commonplace throughout health and social care. Patients and carers may choose to contact or be involved with support groups to gain information and support to benefit their own needs, or with a wider altruistic aim of helping other people within the local community. It was not possible to find specific research
identifying patient and carer preferences for support groups, or indeed to identify specific groups or types of people who may benefit more than others. Some people attend meetings of groups regularly whilst other individuals are reassured by being aware of a group’s existence and the opportunity to contact the group at a later date if problems arise and/or support is required. Preferences are dependent on what stage people are at in their lives and what information is taken (or needs to be taken) on board. ","-"
"CG15AdultS4","Care process and support","Quality audit and monitoring","It is generally accepted now that any system delivering a product, including healthcare systems, can benefit from review of its performance. The diabetes care espoused by this guideline is both co mplex and systematic, and thus lends itself to the kind of data collection needed for quality development. That very complexity, however, means that monitoring the structures, process and outcomes of all sectors can seem overwhelming, necessitating consideration of how limited monitoring activity can be undertaken without distorting the areas gaining attention for improvement. Monitoring of quality of life would seem a priori to be of particular importance in diabetes care, but presents its own difficulties of data acquisition and of analysis of te mporally different outcomes. A udit criteria are suggested in section 3.3 of this guideline to assist local users in promoting implementation and monitoring ongoing improve ments in process and outcome. They have been informed where possible by existing validated measures, principally those of the National Centre for Health Outcome Development. 75","-"
"CG15AdultS5","Education progammes and self-care","Education programmes for adults with Type 1 diabetes","Having diabetes involves acquiring a great range of new skills and knowledge, including insulin therapy, dietary changes, self-monitoring, hypoglycaemia, jobs, travel, physical exercise, coping w ith concurrent illness, foot care, arterial risk control and avoiding complications. The history of education and information giving in diabetes care goes back to the earliest dietary interventions several centuries ago, and the use of education professionals to impart skills associated with insulin therapy dates from the time of discovery and isolation of insulin. Ac co r dingly patient education is a true corner stone that enables self-management of diabetes, and most diabetes management is self-management. Review of other parts of this NICE guideline will reveal that education and information giving are parts of nearly all of them, from enabling patient choice in determining features of self-management, to acquisition of skills needed to perform tasks and make judgements, to self-care where high risk complications have developed, and to skills in handling healthcare professionals to ensure that issues of importance to the person with Type 1 diabetes are addressed.","The group noted that patient education was a necessary and logical part of most aspects of diabetes self-care, and that self-care was a social, health and economic necessity in the manage- ment of the condition. Specific recommendations related to aspects of care such as self- monitoring, insulin therapy, foot care and nutrition were thought best presented in the individual sections of this guideline. The group noted inap propriateness of the classical clinical trial model when just one feature of an integrated pac kage was varied, and one of many possible outputs monitored as primary outcome. There is also the difficulty of, and lack of funding for, the larger, longer-term trials used for pharmaceutical interventions. Equally, the central role of education in achieving success in blood glucose control and health outcomes (DCCT and other key studies) c ould not be ignored. Such information suggested that educational interventions were likely to be c ost-effective, but it was impossible to make compar ative judgements of different education models, a conclusion seemingly also reached by the NICE Appraisal Committee on the basis of a re port from the University of Southampton’s health technology assessment unit. Is sues of information overload at the stressful time of diagnosis, the size of the longer-term educational needs of individuals, the diversity of individual needs, and the retention of the information needed to make informed choices, and the group’s experience of these in practice, served to guide recommendations broadly in line with those of Diabetes UK and the International Diabetes Federation (Europe)."
"CG15AdultS6","Education progammes and self-care","Self-monitoring of blood glucose","In sulin therapy has to be adjusted with lifesty le, insulin dose requirements vary from individual to individual, and the effects of insulin injections are notoriously erratic. It might seem obvious that being able to keep an hour-to-hour or day-to-day check on actual blood glucose levels w ould be to the advantage of any person using insulin therapy. Potential should exist here to assist with diabetes self-education, dose optimisat ion, reassurance over hypoglycaemia and helping professionals give optimum advice on insulin regimens.","Self-monitoring does not, in itself, appear to improve blood glucose control. However, the gr oup noted that it was an essential component of the markedly improved blood glucose control with improved outcomes demonstrated in the landmark DCCT study, and indeed in the other smaller studies of blood glucose control and complications. Indeed it was difficult for members of the group to conceive how modern flexible insulin dosage regimens could be adopted without it. However, the technique is not easy, painless or convenient, and as a result no one system is found appropriate for use by all individuals. Improved technical facility could be identified from clinical experience. Nevertheless appropriate training and quality of skills re vi ew is agreed as necessary and normal practice. Different individuals are noted to use this te c hnology with different frequencies and for different needs according to personal preferences. Given the nature of the technology it is rarely abused. A newer approach, using smaller blood samples from non-finger-prick sites, was not judged to have adequate evidence of reliability, particularly in the situation of hypoglycaemia, to allow a general recommendation."
"CG15AdultS7","Education progammes and self-care","Dietary management","The imperfect nature of insulin replacement the ra py , and in particular the prospective, erratic and inappropriate profiles of insulin absorption, make it necessary to understand the effects of different foods on glucose excursions if these ex cursions are to be appropriately minimised. Fu r thermore, people with Type 1 diabetes are at high arterial risk, which might be ameliorated by appropriate nutritional choices, while some associated conditions can be partly managed through nutritional advice.","The group was impressed by the systematic approach to nutritional recommendations published by the ADA, 76 and the consistency of that approach with the new recommendations from Diabetes UK. 107 Co nsideration of the existing guidelines in the area did not lead the group to any divergent recommendations on nutrition. Furthermore, recent NICE guidance on education models for people with Type 1 diabet es had particularly addressed the relevance of one programme for mealtime insulin dose ad justment (DAFNE) and, after due discussion of some of the issues surrounding that study including the health economic issues, it was felt inappropriate to recommend modification of any of the appraisal’s conclusions. Accordingly the recommendations agreed by the group are mainly those of emphasis and approach appropriate to people with Type 1 diabetes, but reflecting both management of blood glucose ex cursions and arterial risk"
"CG15AdultS8","Education progammes and self-care","Physical activity","Ma ny people wish to perform varying amounts of physical exercise, but this can interact to disturb blood glucose levels in people on insulin therapy. Physical exercise is usually re co mmended to the general population as part of a package of lifestyle measures to improve future health, in particular reduction of arterial risk, which is markedly elevated in people with Ty pe 1 diabetes.","The group noted that the evidence for an improved arterial risk profile in people with Type 1 diabetes was consistent with that for other diabetic and non-diabetic people. Evidence of a co nsistent effect in improving blood glucose control was absent, although by analogy with people with Type 2 diabetes the overweight/insulin-resistant person might benefit from an ex ercise programme as part of a lifestyle improvement initiative. Some people will undertake significant exercise by choice and would benefit from support in so doing."
"CG15AdultS9","Education progammes and self-care","Cultural and individual lifestyle","C ultural and genetic differences between ethnic groups are known to affect health and response to healthcare for many diseases. In regard of Type 1 diabetes this is particularly true of eating habits, while arterial risk is known to differ for the general population and people with Type 2 diabetes. Other care issues seem likely.","The group were aware of a systematic review designed to detect issues of relevance (rather than trials of interventions) and identified papers concerning differences in incidence, attitudes to complications, degree of response to education programmes, blood glucose control, religious fasting and feasting, and hospitalisation. The group noted that cultural and genetic issues affected diabetes healthcare delivery in the areas of:
? patient education and self-care
? nutritional advice
? insulin therapy (including religious feasts and fasts)
? arterial risk
? blood pressure management
? hospitalisation. Insome areas there was overlap with social/deprivation issues. The group’s recommendations address cultural/religious issues in the appropriate sections of this guideline, emphasising the
primacy of the individual in this regard. "
"CG15AdultS10","Blood glucose control and insulin therapy","Clinical monitoring of blood glucose","Ty pe 1 diabetes is for most of the time asymptomatic once effective therapy is instituted. However, it is generally understood that there is a re lationship between blood glucose control and the late complications of the condition. Together these observations suggest that some means of monitoring blood glucose control should help healthcare professionals advise people with diabetes to best effect on insulin doses, regimens and associated lifestyle issues.","The group endorsed the utility of having a frame of reference against which people with diabetes and the professionals advising them could assess risk and risk threshold for micro- and macro-vascular disease in terms of blood glucose control. This was a core component of intensification of therapy in studies showing improved long-term outcomes. HbA 1c is the only measure for which quantitative information linking glucose control to complications is av ailable, and then only when standardised to the assay used in the DCCT study. Near patient t esting was felt to be a core component of making optimal and relevant use of HbA 1c re sults. Co ntinuous glucose monitoring systems were considered to not yet have established their usefulness beyond problem-solving in the occasional person with recurrent blood glucose co ntrol problems at the same time of day."
"CG15AdultS11","Blood glucose control and insulin therapy","Glucose control assessment levels","The DCCT, and a number of smaller studies which are potentially underpowered, 113 suggest that more intensive management of people with Type 1 diabetes (by themselves, with advice) re duces the rate of development of microvascular complications over a period of years. The primary metabolic improvement in the DCCT was lowering of blood glucose level, and this was the measure used in that study to drive the intensification of therapy. This suggests that using measures of blood glucose control in the routine management of therapy in people with Type 1 diabetes is well founded. A question then arises as to what level of blood glucose control people with diabetes should ch oose to strive for. A closely related question is what level(s) of glucose control should be used in assessing the performance of diabetes services. ‘T argets’ have been criticised by some as not giving flexibility for individuals with particular problems (eg hypoglycaemia) to be content with higher HbA 1c levels, which allows some longer-term risk for a gain in current well-being. It is clearly useful to be able to identify those in whom newer and more expensive technologies could be tried in an attempt to reduce microvascular risk, and to distinguish them from those who already achieve safe (or safer) levels on their current therapy. People with diabetes need information on what blood glucose level they need to attain if they wish to minimise vascular risk.","There must be a threshold for glucose control and the development of microvascular co mplications, or non-diabetic people would get complications. Indeed, this threshold must be we ll above the normal range as people with impaired glucose tolerance (IGT) do not (by definition) get microvascular complications. As people with IGT have HbA 1c levels of up to 7.0%, this by itself sets a lower limit of microvascular risk. The microvascular thresholds of HbA 1c 7.5% set around 10 years ago have stood the test of all data published since. If anything the DCCT, Krolewski and McCance data suggest a figure closer to 8.0%. Re co mmendations from the ADA (7.0%) and American College of Endocrinologists (6.5%) are not specific to type of diabetes; data does suggest macrovascular protection is gained by lowering blood glucose levels into the normal range, and the NICE (inherited) guidelines for Ty pe 2 diabetes go for HbA 1c 6.5% in these higher arterial risk individuals. Some people with Type 1 diabetes are at higher arterial risk, notably those with developing nephropathy. This can be identified by increased albumin excretion rate. The presence of features of the metabolic syndrome will also predict higher arterial risk. It may be appropriate to co nsider tighter targets for glucose control (if feasible) in people in these categories. Ho we ve r, these levels are better considered as assessment levels , to be used in setting realistic targets for the individual. Major diabetes services in Europe currently only get about 20% of people with Type 1 diabetes into the sub-7.5% bracket. UK composite data (UKDIABS) shows some services doing better, but this may only represent non-standardised GHb estimation. That current technologies of diabetes care markedly limited the proportion of people on insulin w ho were able to manage themselves to ideal levels was not seen as a bar to setting such assessment levels. It was noted that arterial risk would be likely to have a different relationship in this regard from microvascular risk, and that for the former there was little direct information available for people with Type 1 diabetes, but that the understandings gained in Ty pe 2 diabetes and people without diabetes gave strong guidance in this respect. It was felt that as the assessment of the evidence available pointed to target definition in the same range as other published guidelines, and in particular the NICE inherited guidelines for Type 2 diabetes, there was practical utility for practice of care in having matching recommendations. Lastly the problem of hypoglycaemia in limiting was what achievable in any individual should be addressed within any recommendations, to assuage inappropriate attempts to achieve tight co ntrol and counter impressions of failure if targets are not attained."
