"Set GUID","Question GUID"
"CG15AdultS1","CG15AdultQ3"
"CG15AdultS1","CG15AdultQ4"
"CG15AdultS2","CG15AdultQ5"
"CG15AdultS3","CG15AdultQ6"
"CG15AdultS4","-"
"CG15AdultS5","CG15AdultQ7"
"CG15AdultS6","CG15AdultQ8"
"CG15AdultS6","CG15AdultQ9"
"CG15AdultS6","CG15AdultQ10"
"CG15AdultS7","CG15AdultQ11"
"CG15AdultS8","CG15AdultQ14"
"CG15AdultS9","CG15AdultQ20"
"CG15AdultS9","CG15AdultQ21"
"CG15AdultS11","CG15AdultQ22"
"CG15AdultS11","CG15AdultQ23"
"CG15AdultS10","CG15AdultQ25"
"CG15AdultS10","CG15AdultQ26"
"CG15AdultS12","CG15AdultQ68"
"CG15AdultS12","CG15AdultQ27"
"CG15AdultS12","CG15AdultQ29"
"CG15AdultS14","CG15AdultQ28"
"CG15AdultS13","CG15AdultQ30"
"CG15AdultS13","CG15AdultQ31"
"CG15AdultS13","CG15AdultQ32"
"CG15AdultS13","CG15AdultQ33"
"CG15AdultS13","CG15AdultQ71"
"CG15AdultS17","CG15AdultQ35"
"CG15AdultS17","CG15AdultQ36"
"CG15AdultS15","CG15AdultQ37"
"CG15AdultS15","CG15AdultQ38"
"CG15AdultS15","CG15AdultQ40"
"CG15AdultS16","CG15AdultQ39"
"CG15AdultS16","CG15AdultQ41"
"CG15AdultS16","CG15AdultQ42"
"CG15AdultS16","CG15AdultQ43"
"CG15AdultS18","CG15AdultQ44"
"CG15AdultS19","CG15AdultQ45"
"CG15AdultS21","CG15AdultQ46"
"CG15AdultS21","CG15AdultQ47"
"CG15AdultS20","CG15AdultQ48"
"CG15AdultS22","CG15AdultQ49"
"CG15AdultS22","CG15AdultQ50"
"CG15AdultS22","CG15AdultQ51"
"CG15AdultS22","CG15AdultQ52"
"CG15AdultS23","CG15AdultQ53"
"CG15AdultS23","CG15AdultQ54"
"CG15AdultS24","CG15AdultQ55"
"CG15AdultS24","CG15AdultQ56"
"CG15AdultS25","CG15AdultQ61"
"CG15AdultS25","CG15AdultQ62"
"CG15AdultS27","CG15AdultQ57"
"CG15AdultS26","CG15AdultQ58"
"CG15AdultS26","CG15AdultQ60"
"CG15AdultS26","CG15AdultQ59"
"CG15AdultS32","CG15AdultQ16"
"CG15AdultS32","CG15AdultQ17"
"CG15AdultS33","CG15AdultQ18"
"CG15AdultS33","CG15AdultQ19 "
"CG15AdultS29","CG15AdultQ72"
"CG15AdultS30","CG15AdultQ74"
"CG15AdultS31","CG15AdultQ73"
"CG15AdultS31","CG15AdultQ24"
"CG15AdultS31","CG15AdultQ70"
"CG15AdultS28","CG15AdultQ65"
"CG15AdultS28","CG15AdultQ66"
"CG15AdultS28","CG15AdultQ67"
"CG10S1","CG10Q1"
"CG10S1","CG10Q2"
"CG10S2","CG10Q1"
"CG10S2","CG10Q2"
"CG10S3","CG10Q1"
"CG10S3","CG10Q2"
"CG10S4","CG10Q1"
"CG10S4","CG10Q2"
"CG10S5","CG10Q1"
"CG10S5","CG10Q2"
"CG10S6","CG10Q2"
"CG10S7","CG10Q2"
"CG10S8","CG10Q3"
"CG10S9","CG10Q3"
"CG10S10","CG10Q3"
"CG10S11","CG10Q3"
"CG10S12","CG10Q3"
"CG10S13","CG10Q3"
"CG10S14","CG10Q3"
"CG10S15","CG10Q4"
"PH38S1","PH38Q1"
"PH38S2","PH38Q1"
"PH38S3","PH38Q1"
"PH38S4","PH38Q1"
"PH38S5","PH38Q3"
"PH38S6","PH38Q3"
"PH38S9","PH38Q3"
"PH38S10","PH38Q4"
"PH38S11","PH38Q3"
"PH38S12","PH38Q3"
"PH38S13","PH38Q3"
"PH38S14","PH38Q3"
"PH38S15","PH38Q6"
"PH38S16","PH38Q7"
"PH38S17","PH38Q5"
"PH38S18","PH38Q5"
"PH38S19","PH38Q2"
"PH38S20","PH38Q2"
"CG66S1","CG66Q1"
