"Domain GUID"," Indicator GUID"
"NHSOF1D1","NHSOF1D11a"
"NHSOF1D1","NHSOF1D11a.i"
"NHSOF1D1","NHSOF1D11a.ii"
"NHSOF1D1","NHSOF1D11b"
"NHSOF1D1","NHSOF1D11.1"
"NHSOF1D1","NHSOF1D11.2"
"NHSOF1D1","NHSOF1D11.3"
"NHSOF1D1","NHSOF1D11.4"
"NHSOF1D1","NHSOF1D11.4.i"
"NHSOF1D1","NHSOF1D11.4.ii"
"NHSOF1D1","NHSOF1D11.4.iii"
"NHSOF1D1","NHSOF1D11.4.iv"
"NHSOF1D1","NHSOF1D11.5"
"NHSOF1D1","NHSOF1D11.6.i"
"NHSOF1D1","NHSOF1D11.6.ii"
"NHSOF1D1","NHSOF1D11.6.iii"
"NHSOF1D2","NHSOF1D22"
"NHSOF1D2","NHSOF1D22.1"
"NHSOF1D2","NHSOF1D22.2"
"NHSOF1D2","NHSOF1D22.3.i"
"NHSOF1D2","NHSOF1D22.3.ii"
"NHSOF1D2","NHSOF1D22.4"
"NHSOF1D2","NHSOF1D22.5"
"NHSOF1D3","NHSOF1D33a"
"NHSOF1D3","NHSOF1D33b"
"NHSOF1D3","NHSOF1D33.1"
"NHSOF1D3","NHSOF1D33.2"
"NHSOF1D3","NHSOF1D33.5i"
"NHSOF1D3","NHSOF1D33.5.ii"
"NHSOF1D3","NHSOF1D33.6.i"
"NHSOF1D3","NHSOF1D33.6.ii"
"NHSOF1D4","NHSOF1D44a.i"
"NHSOF1D4","NHSOF1D44a.ii"
"NHSOF1D4","NHSOF1D44a.iii"
"NHSOF1D4","NHSOF1D44b"
"NHSOF1D4","NHSOF1D44.1"
"NHSOF1D4","NHSOF1D44.2"
"NHSOF1D4","NHSOF1D44.3"
"NHSOF1D4","NHSOF1D44.4.i"
"NHSOF1D4","NHSOF1D44.4.ii"
"NHSOF1D4","NHSOF1D44.5"
"NHSOF1D4","NHSOF1D44.6"
"NHSOF1D4","NHSOF1D44.7"
"NHSOF1D5","NHSOF1D55a"
"NHSOF1D5","NHSOF1D55b"
"NHSOF1D5","NHSOF1D55.2.i"
"NHSOF1D5","NHSOF1D55.2.ii"
"NHSOF1D5","NHSOF1D55.4"
"NHSOF1D5","NHSOF1D55.5"
"NHSOF1D5","NHSOF1D55.6"
"PHOFOA","PHOFOA0.1i"
"PHOFOA","PHOFOA0.1ii"
"PHOFOA","PHOFOA0.2i"
"PHOFOA","PHOFOA0.2ii"
"PHOFOA","PHOFOA0.2iii"
"PHOFOA","PHOFOA0.2iv"
"PHOFOA","PHOFOA0.2v"
"PHOF1D1","PHOF1D11.01"
"PHOF1D1","PHOF1D11.02"
"PHOF1D1","PHOF1D11.03"
"PHOF1D1","PHOF1D11.04"
"PHOF1D1","PHOF1D11.05"
"PHOF1D1","PHOF1D11.06"
"PHOF1D1","PHOF1D11.07"
"PHOF1D1","PHOF1D11.08"
"PHOF1D1","PHOF1D11.09"
"PHOF1D1","PHOF1D11.10"
"PHOF1D1","PHOF1D11.11"
"PHOF1D1","PHOF1D11.12"
"PHOF1D1","PHOF1D11.13"
"PHOF1D1","PHOF1D11.14"
"PHOF1D1","PHOF1D11.15"
"PHOF1D1","PHOF1D11.16"
"PHOF1D1","PHOF1D11.17"
"PHOF1D1","PHOF1D11.18"
"PHOF1D1","PHOF1D11.19"
"PHOF1D2","PHOF1D22.01"
"PHOF1D2","PHOF1D22.02"
"PHOF1D2","PHOF1D22.03"
"PHOF1D2","PHOF1D22.04"
"PHOF1D2","PHOF1D22.06"
"PHOF1D2","PHOF1D22.07"
"PHOF1D2","PHOF1D22.08"
"PHOF1D2","PHOF1D22.12"
"PHOF1D2","PHOF1D22.13"
"PHOF1D2","PHOF1D22.14"
"PHOF1D2","PHOF1D22.15"
"PHOF1D2","PHOF1D22.17"
"PHOF1D2","PHOF1D22.18"
"PHOF1D2","PHOF1D22.19"
"PHOF1D2","PHOF1D22.20"
"PHOF1D2","PHOF1D22.21"
"PHOF1D2","PHOF1D22.22"
"PHOF1D2","PHOF1D22.23"
"PHOF1D2","PHOF1D22.24"
"PHOF1D3","PHOF1D33.01"
"PHOF1D3","PHOF1D33.02"
"PHOF1D3","PHOF1D33.03"
"PHOF1D3","PHOF1D33.04"
"PHOF1D3","PHOF1D33.05"
"PHOF1D3","PHOF1D33.06"
"PHOF1D4","PHOF1D44.01"
"PHOF1D4","PHOF1D44.02"
"PHOF1D4","PHOF1D44.03"
"PHOF1D4","PHOF1D44.04"
"PHOF1D4","PHOF1D44.05"
"PHOF1D4","PHOF1D44.06"
"PHOF1D4","PHOF1D44.07"
"PHOF1D4","PHOF1D44.08"
"PHOF1D4","PHOF1D44.10"
"PHOF1D4","PHOF1D44.11"
"PHOF1D4","PHOF1D44.12"
"PHOF1D4","PHOF1D44.14"
"PHOF1D4","PHOF1D44.15"
"PHOF1D4","PHOF1D44.16"
