"Indicator GUID","Indicator No."," Indicator Title","Outcome Sought"
"NHSOF1D11a","1a"," Potential Years of Life Lost (PYLL) from causes considered amenable 
to health care ","Reduced premature mortality from causes amenable to health care"
"NHSOF1D11a.i","1a.i"," Potential Years of Life Lost (PYLL) from causes considered amenable 
to health care Adults","Reduced premature mortality from causes amenable to health care."
"NHSOF1D11a.ii","1a.ii","Potential Years of Life Lost (PYLL) from causes considered amenable 
to health care Children & Young People","Reduced premature mortality from causes amenable to health care."
"NHSOF1D11b","1b"," Life expectancy at 75","Reduced premature mortality from causes amenable to health care."
"NHSOF1D11.1","1.1","Under 75 mortality rate from cardiovascular disease","Reduced premature mortality from cardiovascular disease. 

"
"NHSOF1D11.2","1.2","Under 75 mortality rate from respiratory disease","Reduced premature mortality from respiratory disease. 

"
"NHSOF1D11.3","1.3","Under 75 mortality rate from liver disease","Reduced premature mortality from liver disease. 

"
"NHSOF1D11.4","1.4","Under 75 mortality rate from cancer","Reduced premature mortality from cancer. 

"
"NHSOF1D11.4.i","1.4.i","One-year survival from all cancers","Reducing premature mortality for all cancers. 


"
"NHSOF1D11.4.ii","1.4.ii","Five-year survival from all cancers","Reducing premature mortality for all cancers. "
"NHSOF1D11.4.iii","1.4.iii","One-year survival from breast, lung and colorectal cancer","Reducing premature mortality for breast, lung and colorectal cancer. 


"
"NHSOF1D11.4.iv","1.4.iv","Five-year survival from breast, lung and colorectal cancer","Reducing premature mortality for breast, lung and colorectal cancer. "
"NHSOF1D11.5","1.5","Excess under 75 mortality rate in adults with serious mental illness","Reduced premature mortality in adults with serious mental illness. 
"
"NHSOF1D11.6.i","1.6.i","Infant mortality","Reduced infant mortality 
"
"NHSOF1D11.6.ii","1.6.ii","Neonatal mortality and stillbirths","Reduced neonatal mortality and stillbirths. 
"
"NHSOF1D11.6.iii","1.6.iii","Five year survival from all cancers in children","Reducing premature mortality from all cancers in children. 
"
"NHSOF1D22","2","Health-related quality of life for people with long-term conditions","Improved health-related quality of life for people with long-term conditions"
"NHSOF1D22.1","2.1","Proportion of people feeling supported to manage their condition","People with long-term conditions feel supported to manage their condition"
"NHSOF1D22.2","2.2","Employment of people with long-term conditions","Improved employment rates for people with long-term conditions"
"NHSOF1D22.3.i","2.3.i","Unplanned hospitalisation for chronic ambulatory care sensitive conditions","Improved health status for people with chronic ambulatory care sensitive conditions"
"NHSOF1D22.3.ii","2.3.ii","Unplanned hospitalisation for asthma, diabetes and epilepsy in under 19s","Improving the health status of those aged 0 to 18 who have asthma, diabetes or epilepsy 
"
"NHSOF1D22.4","2.4","Health-related quality of life for carers ","Improved health-related quality of life for carers. 
"
"NHSOF1D22.5","2.5","Employment of people with mental illness","Improved employment rates for people with mental illness 
"
"NHSOF1D33a","3a","Emergency admissions for acute conditions that should not usually require hospital admission","Preventing conditions from becoming more serious"
"NHSOF1D33b","3b","Emergency readmissions within 30 days of discharge from hospital 
","Effective recovery form illnesses and injuries requiring hospitalisation"
