"Quality Measure GUID","Denominator GUID"
"QS6s1PM1","QS6D1"
"QS6s1PM2","QS6D1"
"QS6s1PM3","QS6D1"
"QS6s1PM4","QS6D2"
"QS6s2PM5","QS6D3"
"QS6s2PM6","QS6D3"
"QS6s3PM7","QS6D3"
"QS6s3PM8","QS6D3"
"QS6s4PM9","QS6D3"
"QS6s4PM10","QS6D3"
"QS6s4PM11","QS6D3"
"QS6s4PM12","QS6D3"
"QS6s5PM13","QS6D3"
"QS6s5PM14","QS6D3"
"QS6s5PM15","QS6D4"
"QS6s6PM16","QS6D5"
"QS6s6PM17","QS6D6"
"QS6s6PM18","QS6D7"
"QS6s7PM19","QS6D8"
"QS6s7PM20","QS6D9"
"QS6s7PM21","QS6D10"
"QS6s8PM22","QS6D3"
"QS6s9PM23","QS6D3"
"QS6s9PM24","QS6D11"
"QS6s10PM25","QS6D12"
"QS6s11PM26","QS6D13"
"QS6s11PM27","QS6D14"
"QS6s12PM28","QS6D15"
"QS6s12PM29","QS6D16"
"QS6s12PM30","QS6D17"
"QS6s13PM31","QS6D18"
"QS6s13PM32","QS6D19"
"QS6s14PM33","QS6D20"
"QS6s4OM2","QS6D3"
