"Quality Statement GUID","Quality Measure GUID"
"QS6s1","QS6SM1"
"QS6s2","QS6SM2"
"QS6s3","QS6SM3"
"QS6s4","QS6SM4"
"QS6s5","QS6SM5"
"QS6s6","QS6SM6"
"QS6s6","QS6SM7"
"QS6s7","QS6SM8"
"QS6s7","QS6SM9"
"QS6s7","QS6SM10"
"QS6s8","QS6SM11"
"QS6s9","QS6SM12"
"QS6s10","QS6SM13"
"QS6s11","QS6SM14"
"QS6s12","QS6SM15"
"QS6s13","QS6SM16"
"QS6s14","QS6SM17"
"QS6s1","QS6s1PM1"
"QS6s1","QS6s1PM2"
"QS6s1","QS6s1PM3"
"QS6s1","QS6s1PM4"
"QS6s2","QS6s2PM5"
"QS6s2","QS6s2PM6"
"QS6s3","QS6s3PM7"
"QS6s3","QS6s3PM8"
"QS6s4","QS6s4PM9"
"QS6s4","QS6s4PM10"
"QS6s4","QS6s4PM11"
"QS6s4","QS6s4PM12"
"QS6s5","QS6s5PM13"
"QS6s5","QS6s5PM14"
"QS6s5","QS6s5PM15"
"QS6s6","QS6s6PM16"
"QS6s6","QS6s6PM17"
"QS6s6","QS6s6PM18"
"QS6s7","QS6s7PM19"
"QS6s7","QS6s7PM20"
"QS6s7","QS6s7PM21"
"QS6s8","QS6s8PM22"
"QS6s9","QS6s9PM23"
"QS6s9","QS6s9PM24"
"QS6s10","QS6s10PM25"
"QS6s11","QS6s11PM26"
"QS6s11","QS6s11PM27"
"QS6s12","QS6s12PM28"
"QS6s12","QS6s12PM29"
"QS6s12","QS6s12PM30"
"QS6s13","QS6s13PM31"
"QS6s13","QS6s13PM32"
"QS6s14","QS6s14PM33"
"QS6s3","QS6s3OM1"
"QS6s4","QS6s4OM2"
"QS6s4","QS6s4OM3"
"QS6s5","QS6s4OM2"
"QS6s8","QS6s8OM5"
"QS6s10","QS6s10OM6"
"QS6s10","QS6s10OM7"
"QS6s11","QS6s10OM7"
"QS6s12","QS6s12OM9"
"QS6s12","QS6s12OM10"
"QS6s13","QS6s13OM11"
"QS6s14","QS6s14OM12"
"QS6s14","QS6s14OM13"
