"Action GUID","Audience GUID"
"QS6A1","AUD1"
"QS6A2","AUD2"
"QS6A3","AUD3"
"QS6A4","AUD4"
"QS6A5","AUD1"
"QS6A6","AUD2"
"QS6A7","AUD3"
"QS6A8","AUD4"
"QS6A9","AUD1"
"QS6A10","AUD2"
"QS6A11","AUD3"
"QS6A12","AUD4"
"QS6A13","AUD1"
"QS6A14","AUD2"
"QS6A15","AUD3"
"QS6A16","AUD4"
"QS6A17","AUD1"
"QS6A18","AUD2"
"QS6A19","AUD3"
"QS6A20","AUD4"
"QS6A21","AUD1"
"QS6A22","AUD2"
"QS6A23","AUD3"
"QS6A24","AUD4"
"QS6A25","AUD1"
"QS6A26","AUD2"
"QS6A27","AUD3"
"QS6A28","AUD4"
"QS6A29","AUD1"
"QS6A30","AUD2"
"QS6A31","AUD3"
"QS6A32","AUD4"
"QS6A33","AUD1"
"QS6A34","AUD2"
"QS6A35","AUD3"
"QS6A36","AUD4"
"QS6A37","AUD1"
"QS6A38","AUD2"
"QS6A39","AUD3"
"QS6A40","AUD4"
"QS6A41","AUD1"
"QS6A42","AUD2"
"QS6A43","AUD3"
"QS6A44","AUD4"
"QS6A45","AUD1"
"QS6A46","AUD2"
"QS6A47","AUD3"
"QS6A48","AUD4"
"QS6A49","AUD1"
"QS6A50","AUD2"
"QS6A51","AUD3"
"QS6A52","AUD4"
"QS6A53","AUD1"
"QS6A54","AUD2"
"QS6A55","AUD3"
"QS6A56","AUD4"
