"Quality statement GUID","Recommendation GUID"
"QS6s1","CG87R1.1.1"
"QS6s1","CG15R1.8.1.1"
"QS6s1","CG15R1.8.1.6"
"QS6s1","CG10R1.1.1.6"
"QS6s1","TA60R1.1"
"QS6s1","TA60R1.2"
"QS6s1","TA60R1.3"
"QS6s1","TA60R1.4"
"QS6s2","CG87R1.2.1.1"
"QS6s2","CG15R1.8.3.1"
"QS6s2","CG15R1.8.3.2"
"QS6s4","CG87R1.3.1"
"QS6s4","CG15R1.9.2.4"
"QS6s5","CG87R1.5.1.1"
"QS6s5","CG87R1.5.1.2"
"QS6s5","CG87R1.5.1.3"
"QS6s5","CG87R1.5.1.4"
"QS6s5","CG87R1.5.1.5"
"QS6s5","CG87R1.5.1.6"
"QS6s5","CG87R1.5.2.1"
"QS6s5","CG87R1.5.2.2"
"QS6s5","CG87R1.5.2.3"
"QS6s5","CG87R1.5.2.4"
"QS6s5","CG87R1.5.2.5"
"QS6s5","CG87R1.5.2.6"
"QS6s5","CG87R1.5.3.1"
"QS6s5","CG87R1.5.4.1"
"QS6s5","CG87R1.6.1.1"
"QS6s5","CG87R1.6.1.2"
"QS6s5","CG87R1.6.1.3"
"QS6s5","CG87R1.6.1.4"
"QS6s5","CG87R1.6.1.5"
"QS6s5","CG87R1.6.2.1"
"QS6s5","CG87R1.6.2.2"
"QS6s5","CG87R1.6.2.3"
"QS6s5","CG87R1.6.2.4"
"QS6s5","CG87R1.6.2.5"
"QS6s5","CG87R1.6.2.6"
"QS6s5","CG87R1.6.2.7"
"QS6s5","CG87R1.6.2.8"
"QS6s5","CG87R1.6.3.1"
"QS6s5","CG87R1.6.3.2"
"QS6s5","CG87R1.6.3.3"
"QS6s5","CG87R1.7.1.1"
"QS6s5","CG87R1.7.1.2"
"QS6s5","CG87R1.7.2.1"
"QS6s5","CG87R1.7.2.2"
"QS6s5","CG87R1.7.2.3"
"QS6s5","CG87R1.7.2.4"
"QS6s5","CG87R1.7.2.5"
"QS6s5","CG87R1.7.2.6"
"QS6s5","CG87R1.7.2.7"
"QS6s5","CG87R1.7.3.1"
"QS6s5","CG87R1.7.3.2"
"QS6s5","CG87R1.7.3.3"
"QS6s5","CG87R1.8.1"
"QS6s5","CG87R1.8.2"
"QS6s5","CG87R1.8.3"
"QS6s5","CG87R1.8.4"
"QS6s5","CG87R1.8.5"
"QS6s5","CG87R1.8.6"
"QS6s5","CG87R1.8.7"
"QS6s5","CG87R1.8.8"
"QS6s5","CG87R1.8.9"
"QS6s5","CG87R1.8.10"
"QS6s5","CG87R1.8.11"
"QS6s5","CG87R1.8.12"
"QS6s5","CG87R1.8.13"
"QS6s5","CG87R1.9.1"
"QS6s5","CG87R1.9.2"
"QS6s5","CG87R1.9.3"
"QS6s5","CG87R1.9.4"
"QS6s5","CG87R1.10.1.1"
"QS6s5","CG87R1.10.1.2"
"QS6s5","CG87R1.10.1.3"
"QS6s5","CG87R1.10.1.4"
"QS6s5","CG87R1.10.1.5"
"QS6s5","CG87R1.10.1.6"
"QS6s5","CG87R1.10.1.7"
"QS6s5","CG87R1.10.2.1"
"QS6s5","CG87R1.10.2.2"
"QS6s5","CG87R1.10.2.3"
"QS6s5","CG87R1.10.2.4"
"QS6s5","CG87R1.10.3.1"
"QS6s5","CG87R1.10.4.1"
"QS6s5","CG87R1.10.4.2"
"QS6s6","CG87R1.7.2.3"
"QS6s6","CG15R1.9.3.1"
"QS6s6","CG15R1.9.3.2"
"QS6s6","CG15R1.9.3.3"
"QS6s6","CG15R1.9.3.4"
"QS6s6","CG15R1.9.3.5"
"QS6s6","CG15R1.9.3.6"
"QS6s6","CG15R1.9.3.7"
"QS6s6","CG15R1.9.3.8"
"QS6s6","CG15R1.9.3.9"
"QS6s6","CG15R1.9.3.10"
"QS6s6","CG15R1.9.3.11"
"QS6s6","CG15R1.9.3.12"
"QS6s6","CG15R1.9.3.13"
"QS6s6","CG15R1.9.3.14"
